constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.3, 0.4, 10], [3.0, 9.9, 1.0, 300], [0.01, 0.05, 0.01, 10], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  1  2  3  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       p01       p02       p03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    66       56.83     0.770000  2.900000  0.450000  190.000000        86.40     81.87     66.60     20.53      5.56     62.80     55.87     72.80     88.39     27.47 
    67       53.56     0.750000  3.950000  0.530000  150.000000        90.80     59.07     68.60     21.33     22.22     17.60     48.97     71.31     92.02     43.70 
    68       48.89     1.370000  3.400000  0.470000  220.000000        86.20     41.33     51.20     33.87    -16.67     76.90     46.75     63.82     83.13     22.35 
    69       48.88     1.060000  2.200000  0.470000  140.000000        89.80     42.93     49.20     10.93    -10.00     69.70     56.98     68.44     89.93     20.86 
    70       54.61     0.720000  3.750000  0.500000  180.000000        86.40     74.80     76.00     23.73    -14.44     56.50     57.78     60.15     92.43     32.78 
    71       48.92     0.310000  3.700000  0.440000  240.000000        56.80     98.27     89.80     33.87     16.67      3.10     24.68     25.60     86.80     53.64 
    72       46.30     0.580000  5.600000  0.530000  240.000000        69.40     74.00     69.40     45.87    -10.56     12.00     40.16     48.76     79.86     34.14 
    73       32.10     0.100000  4.050000  0.510000  230.000000        37.40     90.80     73.40     -4.53     10.00     -3.10      0.48     19.35     90.02      7.16 
    74       47.85     0.450000  7.100000  0.520000  230.000000        97.20     77.87     52.80     23.20     -7.78     16.00     33.65     46.18     89.89     49.44 
    75       40.30     0.220000  8.700000  0.640000  190.000000        -6.00    100.00     66.00     32.00     27.22      0.10     24.13     25.13     83.04     51.42 
    76       50.46     0.590000  5.100000  0.490000  270.000000        92.60     63.33     66.60     11.47      8.89     17.20     53.81     63.09     84.76     42.84 
    77       33.46     0.110000  3.850000  0.550000  210.000000        75.80     73.07     22.00     17.60     -3.33      2.70     -5.95     37.75     89.75     25.19 
    78       49.26     0.460000  3.850000  0.550000  260.000000        48.20     81.33     71.60     17.87      8.33     29.60     44.68     59.56     84.58     46.79 
    79       48.64     0.760000  5.250000  0.460000  300.000000        87.20     67.20     56.60     22.93    -15.00     28.00     62.46     59.71     90.16     27.16 
    80       49.58     0.810000  4.550000  0.530000  240.000000        73.20     72.00     70.80     14.13    -17.78     52.80     54.21     57.42     92.06     26.98 
    81       49.99     0.810000  5.900000  0.440000  300.000000        99.00     65.47     76.80     12.00     -8.33     21.20     51.98     62.91     85.76     33.15 
    82       50.78     0.650000  6.750000  0.440000  260.000000        83.20     72.00     76.60      6.13     11.11     18.70     59.68     52.47     80.59     47.35 
    83       49.54     1.050000  6.300000  0.460000  280.000000        81.00     63.73     66.80     16.00    -15.56     59.40     58.81     51.78     85.08     28.40 
    84       48.78     0.990000  4.750000  0.530000  260.000000        87.80     54.53     59.00      7.47      3.33     54.70     48.73     63.49     88.03     20.68 
    85       53.75     0.910000  6.150000  0.500000  220.000000        96.20     69.73     55.60      5.07     16.11     52.00     63.57     62.00     84.58     32.65 
    86       43.79     0.450000  6.050000  0.510000  210.000000        11.00     78.80     90.20     23.73    -10.56     31.50     39.60     43.16     86.89     43.58 
