constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   110       55.38      8.32683        85.40     71.73     75.00     42.13     16.11     27.90     61.67     63.56     77.01     33.33 
   111       49.95      8.71066        60.20     72.80     68.40     13.60      5.56     46.70     53.57     72.04     74.24     32.41 
   112       50.97      8.75043        70.20     64.27     74.20     33.60     -3.89     26.00     65.08     69.02     73.79     37.47 
   113       52.49      6.71298        94.80     53.33     65.60     -3.73      7.78     57.90     71.43     69.31     69.30     39.20 
   114       47.14      4.85617        74.60     77.33     64.60     10.13     -2.78     39.40     52.14     68.18     69.34     18.46 
   115       44.72      6.42842        67.80     68.00     63.40      8.00     -7.78     36.10     49.21     68.36     71.84     22.28 
   116       47.86      5.17881        97.00     65.60     53.80      3.20     -6.11     58.20     59.37     61.49     67.39     18.70 
   117       56.83      4.73978        76.20     73.07     65.40     26.93     60.00     64.30     60.79     64.87     55.10     21.67 
   118       50.51      6.40677        94.60     61.33     55.00      1.60     18.33     32.30     62.54     73.93     75.92     29.51 
   119       49.18      6.46407        91.60     72.27     71.20     13.33    -14.44     26.20     74.21     56.62     72.29     28.52 
   120       44.51      2.75409        98.60     43.47     73.60     -4.27    -30.56     73.80     55.63     69.38     45.58     19.88 
   121       38.27      1.77134        76.80     31.07     51.00     20.00      7.78     60.60     29.05     67.42     33.02      5.99 
   122       42.39      1.50791        82.80     30.93     54.40     33.87      2.22     72.80     21.11     73.82     36.28     15.68 
   123       39.49      1.78080       106.40     14.53     53.60     -3.20     -0.56     73.90     29.29     77.20     42.13      1.60 
   124       47.16      2.17818        88.00     47.73     75.20     -7.47     29.44     71.00     35.16     75.24     42.31     15.00 
   125       44.02      2.01509        84.60     34.27     78.60     -2.13      6.67     78.30     36.67     67.49     41.81     13.89 
   126       48.95      3.55736        68.00     48.67     64.40     26.13     11.67     64.30     59.68     72.44     59.73     14.44 
   127       50.83      5.04740        76.60     70.13     69.60      9.60      7.78     57.90     59.92     61.71     65.03     30.06 
   128       46.01      4.67743        91.40     68.27     69.20     12.00    -10.56     44.30     53.97     61.71     56.19     13.64 
   129       54.01      5.34941        98.60     70.80    101.60     14.67     -0.56     35.40     58.41     59.89     74.24     27.04 
   130       54.08      6.80930        93.40     75.07     70.40     15.20      5.56     52.00     59.37     73.27     66.62     29.94 
   131       55.28      7.28118        88.80     75.20     88.00     17.60     -2.22     49.90     62.62     69.53     70.48     32.90 
   132       51.48      5.57087        84.20     64.40     74.40     33.07     -6.67     53.50     59.60     56.76     70.11     25.37 
   133       55.34      4.51156        92.00     56.93     86.40     26.13      1.67     83.90     54.52     60.91     62.31     28.64 
   134       43.20      2.93673        91.60     37.20     53.80     -1.60     25.00     48.00     41.83     70.73     49.07     16.42 
   135       55.00      6.11620        82.20     77.20     65.20     35.47     17.22     38.30     59.29     67.35     76.19     31.54 
   136       47.22      4.54573        86.00     70.27     67.80     20.27    -22.22     48.90     57.46     68.15     56.78     18.77 
   137       47.93      5.84898        83.60     62.93     75.60      8.80      5.56     30.80     44.68     66.40     72.83     28.09 
   138       51.69      5.09234        87.00     67.07     88.00     11.47    -10.00     61.70     51.43     67.89     68.48     23.83 
   139       48.73      5.57597        88.60     80.93     69.40     -8.53    -10.56     47.90     60.08     72.84     64.63     21.98 
   140       54.61      7.31524        67.40     58.53     76.40     24.53     20.00     50.70     64.68     72.84     73.83     37.22 
   141       44.05      6.15042        75.80     68.13     62.00      0.27    -20.56     39.70     59.52     66.18     68.48     20.99 
   142       44.90      8.86090        69.20     66.93     56.80     23.20     -0.00     18.00     62.30     53.38     67.66     31.54 
   143       54.17      7.60023        80.40     78.13     66.80     29.87     -7.78     55.10     67.14     66.98     72.02     33.02 
   144       47.80      7.15318        79.80     57.33     55.40     17.60     32.22      3.30     67.78     56.95     75.83     31.79 
   145       48.54      7.16643        87.60     74.13     65.80      3.20     -9.44     27.60     66.11     68.33     72.34     29.69 
   146       53.02      6.29243        91.20     77.33     64.00     -2.13     21.11     49.60     57.86     67.05     70.75     33.40 
   147       51.04      8.09740        84.40     77.60     61.20     26.67     15.00      1.40     70.63     64.44     72.43     36.60 
   148       53.23      9.36917        96.20     66.13     74.40     26.67    -14.44     58.30     58.33     65.96     68.57     32.22 
   149       53.32      8.23464        97.60     66.53     73.20     18.40     -7.78     53.40     58.97     66.58     71.66     34.63 
   150       49.12      8.08782        96.20     58.13     87.20      4.27    -12.78     38.10     49.60     67.13     71.75     31.60 
   151       53.63      7.47247        88.20     74.93     78.00     30.13    -18.33     56.40     55.24     66.11     73.15     32.47 
   152       51.04      8.20433        87.40     66.00     78.60     14.40    -11.11     36.10     64.13     68.55     72.15     34.20 
   153       45.21      7.91783        72.60     66.93     73.80      1.87    -11.67     27.80     54.76     68.00     67.98     30.06 
   154       52.74      7.85807        91.00     65.20     76.60     15.20     -2.78     58.70     58.41     61.56     70.61     32.90 
   155       50.50      8.43341        78.00     64.93     71.20      0.80     22.78     44.50     55.24     64.33     73.79     29.44 
   156       48.26      6.94734        88.60     60.93     57.40     10.40     -2.78     39.20     60.95     70.62     69.12     28.15 
   157       51.41      7.48799        87.20     73.47     70.40     17.87     10.56     18.70     62.78     59.82     72.24     41.05 
   158       47.63      7.44328        91.60     78.00     77.40     23.20    -20.56     14.30     53.49     52.69     74.29     31.85 
   159       51.45      8.49921       101.60     72.93     63.60     29.33      1.67     24.70     52.62     65.42     76.05     26.54 
   160       57.11      7.39713        93.80     73.47     67.20     27.47     32.22     39.40     52.30     68.91     74.10     42.22 
   161       48.15      8.04469        68.40     74.53     67.60     12.00     11.11     21.40     61.51     64.15     69.02     31.79 
   162       49.16      6.82646        86.60     80.13     69.80     16.53    -22.22     34.10     56.35     64.95     74.97     30.37 
   163       50.66      7.07787        78.20     74.93     65.60      9.33      6.11     55.70     55.63     65.60     64.08     31.42 
   164       54.67      8.01829        92.00     62.53     78.00     23.47      7.22     38.70     68.57     73.13     67.30     35.80 
   165       49.78      6.64278        94.80     63.60     74.40      2.40    -11.11     44.00     56.67     68.73     67.66     36.67 
   166       50.44      6.82385        65.60     93.20     74.40     13.07    -10.00     31.20     65.48     64.36     71.20     35.93 
   167       48.94      8.09325        55.80     64.27     67.80     24.00      5.56     44.80     58.10     65.02     76.51     27.53 
   168       52.76      8.09583       100.00     59.33     80.20      9.60     12.78     39.50     57.70     70.07     71.11     27.35 
   169       54.46      7.77982        79.80     76.40     71.40     29.33     26.67     25.60     58.17     64.15     73.33     39.75 
   170       56.62      6.76804        79.40     80.67     84.40     31.47    -13.33     56.60     66.35     72.58     70.70     37.41 
   171       55.29      7.74269       102.20     59.87     88.60     26.93      8.89     39.70     48.57     68.58     73.24     36.36 
   172       51.13      8.44088        80.00     71.73     73.40     15.73     15.00     22.50     66.35     66.22     68.71     31.67 
   173       47.41      7.43113        88.00     59.60     79.40    -12.53    -13.89     25.10     62.86     71.53     75.92     38.09 
   174       54.78      7.48560        91.60     58.13     84.80     17.33      3.89     49.10     59.05     76.25     73.06     34.57 
   175       48.94      7.90897       102.80     73.07     72.60      1.07    -15.56     29.10     59.21     67.71     74.42     25.00 
   176       52.35      7.29993        79.80     62.53     87.60     11.73     13.33     39.70     47.22     65.35     75.83     40.37 
   177       48.24      7.79843        92.40     57.33     75.00     -6.40      8.89     32.00     59.13     61.82     65.49     36.79 
   178       57.14      7.33926        87.60     64.27     77.00     26.40     20.00     48.70     74.84     69.56     70.34     32.72 
   179       46.07      6.92099        84.40     64.00     68.40     15.20    -26.11     41.20     57.06     60.29     69.21     27.04 
   180       46.49      7.22285        77.40     66.67     62.80      5.60    -20.00     40.70     58.10     71.05     69.75     32.84 
   181       55.16      7.42233        86.00     74.53     74.20     21.87     20.00     49.50     61.83     64.87     66.21     32.59 
   182       50.08      6.88300        87.80     73.07     79.00    -18.40      8.89     38.40     59.76     69.53     70.20     32.59 
   183       56.00      7.23740       100.00     73.87     75.40      0.27     22.78     52.30     65.63     72.76     74.29     22.72 
