constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   142       56.16      5.63545        95.40     82.27     59.20     34.40    -10.00     45.00     53.89     76.15     91.93     33.33 
   143       53.45      6.36697        93.00     69.20     84.80     -1.87      6.67     23.00     57.22     75.71     91.97     34.75 
   144       60.62      5.54733        91.40     61.07     55.00     25.07     36.11     65.20     58.81     78.18     96.10     39.26 
   145       57.76      4.92034       101.00     73.33     62.00     -4.00      0.00     64.10     65.16     78.33     91.16     46.54 
   146       53.55      5.26568        99.20     51.33     69.40      8.53    -11.11     51.10     62.78     79.31     89.80     35.19 
   147       57.23      4.18632        94.00     76.67     67.20      3.20     11.67     55.00     58.10     78.95     90.70     36.79 
   148       53.80      3.60833        88.40     68.13     83.60     -6.40    -13.89     64.70     59.37     70.04     90.52     33.58 
   149       59.69      4.89787        84.80     86.13     60.60     19.47     35.00     59.50     60.24     75.20     88.53     27.47 
   150       52.37      5.53848        78.80     82.00     55.40     -9.07      8.89     58.50     60.00     72.36     86.35     30.49 
   151       49.82      5.50647        81.00     69.07     55.60     24.00    -16.67     39.40     58.73     84.58     80.59     21.85 
   152       54.31      5.65919        86.20     54.40     79.40      3.20      1.67     60.40     68.10     75.89     82.99     30.86 
   153       47.20      6.04823        58.20     66.80     57.80     -0.53     -0.00     47.60     50.00     70.58     87.07     34.51 
   154       51.75      5.15688        69.60     91.87     75.00     12.80    -24.44     38.30     48.65     74.62     97.01     34.14 
   155       59.47      5.45533        93.40     72.27     73.60     26.93     22.78     49.30     56.43     81.56     82.27     36.17 
