constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCB1 , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.240000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   149       50.80      5.57091        67.80     78.67     70.40      9.87     12.22     62.90     47.38     75.27     62.18     21.36 
   150       58.83      6.33313        95.80     68.67     86.60     38.13     20.56     53.60     48.02     72.07     74.38     30.43 
   151       51.23      5.67465        90.60     72.27     58.60     12.80      8.33     40.10     60.56     77.13     66.39     25.56 
   152       51.48      4.78636       100.00     67.07     59.60      5.33     18.33     72.60     35.48     75.45     63.04     17.90 
   153       50.94      5.50945        72.80     62.00     74.80      9.33      6.11     61.60     52.06     73.82     69.61     27.28 
   154       53.40      5.36135        93.40     76.80     57.00     17.33     -0.56     55.20     57.06     75.42     70.52     31.85 
   155       51.10      4.58309       100.40     49.33     76.00     22.13      7.78     56.80     41.19     78.40     62.90     16.05 
   156       49.56      4.34748        89.20     54.93     73.80     12.80      2.22     56.90     56.83     79.45     56.64     12.84 
   157       51.86      4.39017       100.40     62.93     78.00      8.27     26.11     66.50     34.84     68.58     58.82     14.14 
   158       49.98      4.58329        91.00     57.07     81.80     17.60    -27.22     55.00     67.38     77.82     62.68     16.67 
   159       55.83      6.18816        85.40     66.67     87.00     20.00      9.44     40.50     63.10     77.89     72.29     35.99 
   160       55.10      5.98023       102.20     66.53     83.20      3.20      6.67     35.70     67.46     77.75     75.37     32.90 
   161       51.84      5.57999        86.80     76.27     67.40      4.53     14.44     51.00     56.11     70.69     70.02     21.11 
   162       55.97      5.48126        96.20     73.60     83.20     27.73    -11.67     58.30     55.32     76.91     69.93     30.19 
   163       50.78      6.22202       100.60     74.13     62.60      7.20    -34.44     68.60     56.75     75.45     71.66     25.25 
   164       50.48      6.16199        76.60     75.07     78.40     24.80     12.78     21.00     42.78     71.56     70.25     31.54 
   165       47.55      5.56466        83.80     67.20     67.20     -1.33      2.78     41.10     45.48     71.56     71.97     25.74 
   166       52.88      5.39999       108.00     72.53     76.60     13.60     -7.78     47.20     51.75     73.93     67.26     25.68 
   167       54.51      5.43350        90.00     69.60     64.80     26.67      7.22     49.00     54.68     77.13     76.64     29.38 
   168       48.71      5.33711        91.20     59.07     54.80     25.60     -9.44     34.00     55.40     78.55     69.21     28.77 
   169       54.90      4.86854        94.80     69.87     86.00      6.13     22.22     58.10     47.94     76.47     65.80     21.67 
   170       52.69      4.82964        95.00     63.73     77.20      1.07      6.11     73.70     47.38     70.33     69.75     22.59 
   171       50.46      5.02991        93.00     68.40     89.40      5.60     -1.67     36.70     51.51     76.36     66.08     19.20 
   172       51.71      4.43015        82.20     67.87     74.60     14.93     25.56     62.40     42.78     73.31     64.54      8.95 
   173       53.88      5.38646        97.40     77.73     64.80     23.20    -11.67     50.90     64.37     72.98     71.38     27.65 
   174       50.61      5.93562        56.60     72.93     71.00     21.60     10.00     41.70     65.56     68.91     65.44     32.41 
   175       56.11      5.42766        90.60     78.40     78.40     27.73      8.89     50.40     61.98     77.82     68.25     18.64 
   176       48.49      5.40829        84.20     67.60     66.00     22.93    -17.78     42.00     49.29     79.78     61.63     29.26 
   177       53.84      5.82149        66.00     75.87     83.40     21.87     -5.00     50.00     62.46     79.53     71.75     32.53 
   178       50.77      5.90723       105.00     62.27     62.80     17.60     -6.67     34.30     46.03     78.47     70.48     37.41 
   179       49.04      4.93981        59.60     78.53     70.60      4.53      7.78     51.10     53.73     72.29     66.44     25.80 
   180       51.83      4.96157        85.20     70.53     80.40     10.13     -5.00     65.10     58.10     77.27     59.82     16.79 
   181       54.09      4.89233        93.00     66.00     63.20     15.73     15.56     62.80     54.13     80.87     65.08     24.51 
   182       51.24      5.70747        78.00     65.87     66.40     28.53     10.00     30.70     57.46     75.96     72.88     26.60 
   183       57.36      5.72962       100.60     85.07     79.00     24.53      6.67     55.80     60.87     69.05     70.52     21.48 
   184       51.51      5.69057        80.60     65.47     64.80      5.87     13.33     52.70     56.98     80.04     68.80     26.54 
   185       54.46      5.65771        98.40     56.13     65.20     21.60      7.78     67.70     56.11     71.93     68.98     30.74 
   186       49.08      5.74476        94.60     65.73     61.00     20.53    -23.33     31.20     67.62     70.11     75.60     27.72 
   187       51.68      5.90825        80.40     66.80     72.60     22.93     20.00     40.90     42.30     70.15     73.33     27.41 
   188       49.93      5.73629        76.40     54.27     82.40     23.47      5.56     30.40     55.56     67.96     70.93     32.35 
   189       54.85      5.98482        88.80     81.20     99.00     -5.87     10.00     52.00     51.35     79.27     66.85     25.93 
   190       53.94      5.69030        91.00     77.60     72.40     15.20     11.11     39.50     60.95     66.18     66.39     39.01 
   191       54.21      5.57909        94.00     66.27     64.60      1.60     39.44     58.70     52.38     75.96     69.52     19.63 
   192       53.07      5.54721        81.00     56.93     88.60     13.87     -1.11     59.70     61.43     77.56     69.07     23.64 
   193       58.53      5.72931       106.80     68.00     73.60     46.93     27.78     34.30     48.33     77.35     75.28     26.91 
   194       46.18      5.72499        97.40     48.00     59.80      9.60    -30.00     44.60     65.16     74.51     66.89     25.86 
   195       51.24      5.73275       104.60     62.67     64.20      1.33     -5.00     55.90     61.19     71.31     77.19     19.01 
   196       51.49      5.73567        92.60     61.33     82.20     44.00    -35.56     50.90     52.30     76.00     73.92     17.16 
   197       54.13      5.70659       101.00     69.60     72.20     14.93     16.67     36.80     64.05     69.49     70.07     26.54 
   198       54.91      5.74880        89.80     78.80     64.40      2.40     20.56     52.60     63.73     71.49     71.70     33.64 
   199       52.83      5.76559        80.60     65.73     74.80     16.53     24.44     47.70     51.03     72.76     66.21     28.46 
   200       51.64      5.73020        83.80     66.53     90.20     19.20     19.44     10.30     58.10     75.96     70.11     22.78 
   201       52.12      5.68670        99.40     69.07     72.00     29.07    -15.56     34.30     56.43     82.87     68.39     25.25 
   202       59.77      5.70789        85.00     76.53     85.20      6.67     34.44     71.80     63.10     73.85     69.07     32.04 
   203       47.10      5.70789        94.60     66.93     50.80     -3.47     -3.33     42.40     52.30     77.16     65.53     28.02 
   204       53.31      5.43473       105.80     70.00     63.80     10.13      7.78     58.60     54.52     75.02     66.12     21.36 
   205       50.20      5.22881        90.00     67.87     83.40      8.80    -17.22     39.90     59.84     73.64     71.93     23.89 
   206       52.82      4.13699        80.00     73.07     68.40     23.73     23.33     81.90     36.19     79.56     47.48     14.57 
   207       43.12      4.04685        97.60     42.67     71.80     -5.33    -13.89     59.00     41.43     79.71     48.62      9.63 
   208       51.77      5.61833        99.80     51.73     82.80      6.40      9.44     40.40     62.62     70.91     65.90     27.65 
   209       41.82      3.45250        98.20     48.00     76.60    -10.67    -25.56     69.00     38.97     75.75     34.74     13.15 
   210       36.16      2.79764       107.60      9.73     44.80     -0.80     -0.56     76.60     24.92     72.95     28.53     -2.16 
   211       44.97      3.53918        78.40     39.07     74.80     -5.87     26.67     81.20     23.33     81.02     34.69     16.36 
