constructTestCases(): generating 37 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.3, -0.5, -0.5, 0.3, -0.5, -0.5], [2.3, 0.5, 0.5, 2.3, 0.5, 0.5], [0.1, 0.1, 0.1, 0.1, 0.1, 0.1], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective:  [0, 1]
Optimizer(): evals/step: 10
Optimizer(): numParams: 6 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Linear  Linear  
MABsolver_config: params: numInputs:  2  2  
MABsolver_config: params: weights:  [  1.300000  0.000000  0.000000  ]  [  0.800000  0.000000  0.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score       p00w00    p00w01    p00w02    p01w00    p01w01    p01w02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    99       53.17      1.70000   0.10000   0.20000   1.40000  -0.20000  -0.30000        86.60     65.60     56.80     20.00     15.56     64.10     56.03     60.73     87.98     18.27 
   100       48.38      1.80000   0.20000   0.10000   1.60000  -0.40000  -0.50000        85.20     56.40     57.40      1.87      6.67     57.50     44.29     63.93     92.61     17.96 
   101       42.68      2.00000   0.20000   0.10000   1.30000  -0.20000  -0.20000        78.60     41.47     50.20      8.80    -12.22     44.30     45.24     62.73     86.76     20.93 
   102       47.35      1.50000   0.00000   0.30000   1.30000  -0.10000  -0.20000        89.60     51.73     52.20     16.53     -5.00     62.50     41.51     56.98     91.56     15.86 
   103       47.86      1.70000   0.00000   0.20000   1.40000   0.00000  -0.40000        85.80     61.87     64.60    -14.67     12.22     60.60     45.24     59.78     91.34     11.85 
   104       52.20      1.80000  -0.20000   0.00000   1.10000   0.10000  -0.40000        99.20     45.60     89.20      4.00    -10.00     53.20     59.92     62.22     94.01     24.63 
   105       49.34      2.00000  -0.40000   0.10000   1.40000  -0.10000  -0.30000        89.60     61.47     62.60     15.20     -9.44     56.50     49.37     58.87     89.25     20.00 
   106       50.52      1.90000  -0.20000   0.00000   1.10000  -0.20000  -0.30000        95.00     49.87     53.40     17.33      2.78     55.20     46.90     62.18     86.58     35.93 
   107       51.77      1.70000  -0.20000   0.00000   1.10000  -0.20000  -0.30000        78.20     64.53     65.00      9.07     10.56     63.10     57.06     52.40     86.35     31.42 
   108       45.39      1.70000  -0.20000  -0.10000   1.10000  -0.10000  -0.40000        71.60     55.07     53.60     -5.87     11.11     34.70     53.81     64.84     93.42     21.67 
   109       48.23      1.60000  -0.20000  -0.10000   1.40000   0.00000  -0.30000        80.40     70.27     54.60      2.67    -10.00     51.40     53.25     61.16     98.91     19.63 
   110       49.60      1.70000  -0.20000   0.10000   1.10000  -0.10000  -0.40000        80.40     50.93     48.40     21.33     14.44     58.20     49.84     59.35     91.16     21.91 
   111       58.43      1.80000  -0.20000   0.20000   1.30000  -0.20000  -0.40000       100.40     69.20     52.00     37.33     52.78     67.30     37.06     61.09     84.04     23.15 
   112       51.37      1.90000  -0.10000   0.30000   1.30000  -0.40000  -0.20000        79.00     60.53     67.00     15.47     21.67     66.30     42.22     54.65     91.25     15.62 
   113       50.05      1.50000  -0.30000   0.20000   1.60000  -0.30000  -0.30000        74.40     44.13     61.80      5.87     16.11     62.30     52.46     55.75     96.15     31.54 
   114       48.56      2.00000  -0.40000   0.30000   1.30000  -0.20000  -0.20000        77.60     55.60     60.40      6.13     13.89     58.20     45.00     63.78     87.26     17.72 
   115       44.46      1.60000  -0.10000   0.30000   1.60000  -0.10000  -0.40000        75.80     52.93     43.60      1.87     -3.33     70.50     38.73     60.65     87.44     16.42 
   116       46.10      1.90000  -0.10000   0.20000   1.10000  -0.10000  -0.30000        70.80     56.53     45.40     -4.00      3.89     64.80     50.56     56.15     94.06     22.84 
   117       50.85      1.70000  -0.30000   0.30000   1.60000  -0.20000  -0.30000        83.40     51.73     52.80      4.80     20.00     69.80     53.89     63.45     92.52     16.11 
   118       47.41      1.80000  -0.30000   0.30000   1.10000  -0.30000  -0.20000        86.60     59.47     33.80      7.47     11.11     58.90     49.13     61.85     86.44     19.32 
   119       49.39      1.80000  -0.40000   0.30000   1.20000  -0.20000  -0.30000        73.80     67.33     46.60     13.87      2.22     64.20     58.41     62.80     83.27     21.36 
   120       46.69      1.80000  -0.30000   0.30000   1.40000  -0.20000  -0.30000        89.00     57.47     55.20      1.60    -11.11     53.60     50.71     59.27     90.48     20.68 
   121       61.94      1.50000  -0.30000   0.30000   1.00000  -0.20000  -0.40000       100.20     64.53     78.00     34.40     39.44     52.00     65.95     57.60     91.56     35.74 
   122       52.35      1.20000  -0.30000   0.20000   1.20000  -0.10000  -0.30000        84.60     61.73     55.80     19.73     -7.78     62.20     68.25     60.00     89.80     29.14 
   123       52.77      1.50000  -0.40000   0.30000   0.90000  -0.20000  -0.20000        84.20     79.73     78.80     23.20    -12.78     47.10     49.52     57.71     94.60     25.62 
   124       49.02      1.60000  -0.20000   0.20000   1.20000  -0.10000  -0.40000        77.80     77.60     51.20     -8.53     15.56     59.10     43.02     63.85     88.53     22.10 
   125       50.53      1.20000  -0.40000   0.50000   0.80000  -0.10000  -0.30000        93.00     62.80     57.60     29.87      5.56     25.00     57.78     58.11     86.12     29.51 
   126       57.86      1.20000  -0.20000   0.50000   1.00000   0.00000  -0.40000        99.60     63.60     61.80     30.40     43.33     42.60     53.33     64.69     89.93     29.32 
   127       50.81      1.40000  -0.40000   0.40000   1.00000  -0.10000  -0.20000        80.60     50.93     60.20     -2.67     16.11     58.40     59.92     62.15     91.20     31.30 
