constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   128       48.96      3.08942        52.20     62.27     87.00     24.53    -13.33     59.30     51.75     66.65     74.97     24.26 
   129       48.58      4.70668        82.40     58.67     78.60     43.20    -14.44     32.20     29.76     69.13     77.91     28.33 
   130       54.03      3.69180        72.00     78.40     77.20     29.07     13.33     66.90     23.89     70.36     72.93     36.17 
   131       34.21      1.85140        43.60     64.53     62.40     -6.40    -17.22     55.30      8.89     62.40     66.67      1.91 
   132       36.80      1.82622        60.80     64.80     80.00    -28.80    -22.78     62.20      8.49     59.60     73.42     10.25 
   133       42.30      5.29578        71.80     76.53     76.40      5.60     -5.56     34.20     10.00     59.45     75.60     18.95 
   134       56.20      4.01792        68.00     80.27     77.80     45.60     38.89     50.60     28.65     67.02     71.56     33.58 
   135       54.76      4.15273        72.00     84.40     72.60      1.33     46.11     57.60     37.94     65.16     78.28     32.16 
   136       45.47      5.55388        63.60     90.40     70.00     26.13     18.89     19.30     10.48     52.84     83.27     19.75 
   137       42.79      4.14179        42.40     78.67     84.00     -7.73     26.11     48.80      0.48     69.16     72.52     13.46 
   138       49.49      2.63513        67.20     73.60     69.80     16.00     12.78     65.00     34.44     67.78     68.98     19.32 
   139       51.82      4.03100        84.60     85.47     74.00     28.27     -7.78     33.20     41.27     71.05     74.83     33.27 
   140       50.11      3.21585        57.40     81.60     62.20     31.47      8.89     65.60     23.81     71.67     71.38     27.10 
   141       57.80      4.16398        67.00     85.33     88.80     56.80     13.33     48.10     48.41     63.42     73.20     33.64 
   142       40.38      5.01514        79.00     86.40     66.00    -11.73      0.56     26.40     13.97     61.31     73.33      8.58 
   143       50.16      3.30968        72.00     68.40     71.00     19.20      7.22     63.90     34.84     63.38     71.56     30.12 
   144       53.98      4.23472        74.00     79.87     77.60     21.60     21.11     56.90     42.38     65.02     77.41     23.89 
   145       48.34      3.17668        66.20     83.73     76.80     -2.67    -11.67     66.20     36.27     67.71     69.61     31.23 
   146       55.24      4.67310        89.80     98.93     66.40     25.07     32.22     41.10     24.44     58.95     78.96     36.54 
   147       43.56      4.99856        73.00     80.80     76.80      2.40     -8.33     25.90     35.63     64.55     74.06     10.80 
   148       51.02      3.85562        64.40     69.73     82.60     18.93      8.33     53.50     40.48     66.98     78.14     27.10 
   149       48.88      3.14773        53.40     96.53     75.00     -3.73      3.89     70.10     25.95     69.02     70.48     28.15 
   150       50.78      4.54000        60.40     92.27     80.80     -9.87     47.78     39.80     34.68     64.98     79.59     17.35 
   151       48.07      5.20172        78.60     82.67     71.60     62.40     -5.56     27.50     12.70     55.78     77.73     17.28 
