constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [2.5], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   136       54.95      1.03659        98.00     67.07     54.80     14.67     22.78     69.80     55.71     59.35     85.58     21.73 
   137       45.18      1.17665        73.60     65.47     56.20     -8.27    -13.33     54.10     51.67     61.20     93.24     17.90 
   138       50.66      0.67918        95.80     77.33     55.80     -7.47      8.89     42.90     51.51     59.05     89.16     33.58 
   139       53.23      0.55324       100.80     79.07     65.20     55.47     -9.44     10.40     41.67     52.29     95.65     41.23 
   140       37.84      0.19599        19.40     99.60     44.40     18.67      6.11      2.40     28.10     23.93     85.90     49.88 
   141       48.08      0.79729        72.40     68.80     62.00     37.60    -22.22     33.10     53.81     58.07     90.70     26.54 
   142       56.21      0.88887       102.20     80.13     80.80     18.67     -7.22     66.20     49.68     57.85     85.03     28.77 
   143       52.30      1.20614        96.00     63.07     67.20     23.73    -17.22     62.50     52.14     59.78     92.34     23.46 
   144       42.45      1.24162        65.40     55.60     61.20    -20.00    -15.00     61.60     54.21     61.20     83.90     16.36 
   145       51.40      0.95482        97.60     63.47     58.40     -1.07      7.22     61.10     57.30     61.27     78.50     30.25 
   146       51.76      1.03562        99.20     58.27     39.80     23.20      0.00     65.90     58.81     57.05     85.53     29.88 
   147       46.54      1.17000        80.20     53.33     65.20     17.07    -24.44     68.00     39.52     60.51     84.90     21.11 
   148       52.45      0.70387        97.60     60.40     81.20     -7.20      3.89     50.90     46.35     58.87     89.34     43.15 
   149       37.34      0.55772        84.80     46.53     49.80      9.60    -40.00     -1.40     46.98     50.47     84.72     41.85 
   150       53.65      0.71551        64.40     77.20     77.40     53.87    -13.33     42.00     49.92     55.78     97.41     31.85 
   151       43.55      0.48610        52.60     56.67     91.40     34.13     -5.00      1.60     35.40     40.51     86.67     41.54 
   152       54.19      0.71785        93.20     75.20     88.20      5.87      8.89     44.80     50.63     59.60     85.03     30.49 
   153       47.34      0.54894        55.00     77.47     78.80     10.13      5.56     24.60     42.46     58.69     87.94     32.78 
   154       51.01      0.43427        52.00     89.07     81.80     53.07     -8.89     19.30     41.27     46.07     85.31     51.11 
   155       52.04      0.69603        67.80     75.07     70.60      4.80     17.22     30.40     61.98     55.05    101.54     35.93 
   156       54.76      0.86678        95.20     63.47     83.80     35.73    -28.89     50.40     61.03     63.09     92.83     30.93 
   157       54.82      0.71931        90.00     73.33     84.20     21.87      3.89     33.50     51.27     59.05     86.12     44.94 
   158       55.00      0.60303        92.80     78.80     84.20     31.47     -6.11     32.20     63.65     54.65     84.13     34.20 
   159       44.78      0.47342        29.60     84.13     80.60     15.73     10.56     16.70     45.79     35.16     88.57     40.93 
   160       50.92      0.60178        91.80     67.60     76.40     19.20    -10.56     35.10     58.10     48.22     84.44     38.89 
   161       52.60      0.62603        82.40     79.20     64.40     35.47      7.78     16.20     51.11     59.71     87.89     41.85 
   162       50.94      0.89224        96.80     73.47     69.20     15.20    -19.44     50.80     53.65     59.85     84.54     25.37 
   163       54.39      0.71952        91.60     76.80     75.80     38.67     10.00     33.40     60.63     53.53     79.64     23.83 
   164       51.60      0.50935        99.00     75.60     77.40     23.20     -6.11      7.30     41.83     57.05     96.69     44.07 
   165       44.25      0.91082        90.20     51.33     55.00      5.87    -18.89     28.00     51.83     55.13     95.28     28.77 
   166       48.05      0.80830        82.00     75.07     64.60     14.40      1.11     20.30     44.60     59.24     86.76     32.41 
   167       45.94      0.58530        82.20     67.73     77.00      0.53     -6.67      9.70     48.49     49.02     84.76     46.67 
   168       53.07      0.89195       101.00     65.20     80.20      9.33      5.56     43.80     55.40     59.56     85.26     25.43 
   169       49.20      0.98790        87.60     49.73     76.00     25.87    -11.67     50.90     41.43     63.89     89.89     18.40 
   170       43.38      0.86010        66.00     63.20     49.60      0.80      1.11     18.50     59.52     61.85     82.99     30.25 
   171       53.84      1.08213        93.60     69.33     56.80     25.87    -11.67     73.50     57.94     58.84     89.52     24.69 
   172       47.15      1.06112       100.20     60.93     58.40     11.20    -25.00     42.90     53.73     57.60     92.52     19.01 
   173       49.29      1.04672        96.20     65.20     71.00      6.93    -19.44     58.90     53.41     59.16     75.96     25.56 
   174       49.91      1.04516        94.60     71.47     57.40     -2.93     -9.44     67.90     47.14     57.85     87.30     27.84 
   175       50.90      0.96218        90.60     67.87     76.00     -1.33    -10.00     57.90     50.32     61.71     82.95     32.96 
   176       51.64      1.12356        78.60     73.47     54.40      4.00      2.78     67.70     60.24     57.27     94.92     23.02 
   177       48.63      0.95092        95.60     62.13     60.20      1.87    -12.22     46.90     54.76     62.69     92.79     21.60 
   178       51.94      0.96434        99.60     70.80     72.40     10.67     -5.00     48.90     54.92     55.71     85.94     25.49 
   179       44.88      1.20204        85.00     58.67     49.60      4.80    -16.11     51.40     56.35     54.84     83.85     20.43 
   180       46.65      1.22472        94.00     57.73     52.80     12.80    -22.22     59.90     50.08     56.73     87.21     17.47 
   181       52.94      1.01383       106.20     57.73     63.40     -4.27      8.33     67.90     55.71     58.33     90.61     25.49 
   182       48.04      1.12253        68.20     57.07     60.20     17.33     -7.78     57.20     51.59     58.33     97.78     20.49 
   183       53.69      1.05489        96.60     60.80     49.80     11.20     20.56     61.30     61.27     60.69     90.61     24.07 
   184       48.80      1.12372        86.40     64.93     38.20     10.93     -3.33     67.90     50.40     62.58     87.94     22.10 
   185       53.97      0.98499        96.60     80.27     66.80     -6.40      3.33     58.00     59.76     57.24     90.25     33.83 
   186       49.49      1.02779        89.40     73.20     74.20     -5.33    -13.89     60.60     52.62     58.98     84.63     20.49 
   187       54.65      0.94231        89.20     71.47     77.80      8.00     17.78     60.20     57.62     60.25     82.04     22.10 
   188       48.83      0.88567        94.00     82.27     68.00     10.67    -23.33     28.60     56.35     59.78     84.76     27.16 
   189       56.45      0.87799        92.80     60.13     85.80     33.33     17.22     45.90     53.73     55.96     96.33     23.27 
   190       57.81      0.82352        70.80     74.27     82.80     20.27     31.11     57.30     58.73     58.40     89.34     35.06 
   191       53.84      0.78240        95.40     72.27     60.80     13.33     18.33     31.70     58.25     62.04     92.61     33.70 
   192       50.04      0.76322        93.00     70.00     72.60     14.13     -7.22     24.50     57.30     56.55     90.57     28.95 
   193       45.38      0.81572        92.00     64.53     67.60    -19.47    -24.44     44.90     51.83     59.16     88.34     29.38 
   194       50.84      0.81666        84.60     60.53     81.40     12.80      0.00     50.00     53.49     52.62     86.30     26.67 
   195       50.22      0.82604        83.40     66.00     69.80     18.40    -13.89     33.70     61.27     57.49     97.64     28.40 
   196       57.76      0.82936        86.80     58.00     54.80     36.27     29.44     66.20     52.22     64.58     92.52     36.79 
   197       57.86      0.83916        98.40     76.67     59.00     40.27     13.89     57.30     58.73     56.62     87.03     30.74 
   198       50.39      0.84077        94.60     68.13     56.00     22.13     -5.00     39.60     51.67     63.02     83.85     29.94 
   199       49.32      0.82678        71.80     63.20     68.60     33.33     10.00     18.00     46.43     62.18     92.79     26.85 
   200       52.56      0.82751        88.60     69.47     67.60     -4.27     17.78     52.90     54.13     60.07     84.67     34.63 
   201       51.28      0.83564        79.00     67.07     62.00     43.20      3.89     38.30     56.03     60.00     83.40     19.94 
   202       56.35      0.82944        76.80     81.73     74.80     30.40     20.00     31.00     66.43     63.24     88.39     30.74 
   203       53.22      0.83916        92.20     75.07     80.80      4.53     13.89     45.50     46.90     52.95     92.38     27.96 
   204       54.21      0.96938        95.00     74.13     71.20     11.20      6.11     56.30     55.32     63.45     87.57     21.85 
   205       49.14      0.58433        63.20     78.53     79.80     17.60     -0.00     26.80     48.10     52.55     84.04     40.74 
   206       56.98      1.24463        82.20     54.00     62.20     43.20     40.00     63.00     55.40     60.84     86.89     22.04 
   207       55.73      0.86748        92.80     62.93     68.40     16.27     37.78     37.50     65.16     59.85     85.58     30.99 
   208       46.60      1.17341        83.00     59.60     43.60     12.00    -10.00     57.00     50.56     55.13     98.41     16.73 
   209       44.47      0.82340        77.80     57.33     60.60     -0.00    -16.67     35.30     55.16     53.64     86.12     35.37 
   210       50.41      1.02463        90.60     63.07     73.80    -16.27     23.89     54.10     49.92     54.15     86.49     24.38 
   211       46.92      0.66953        83.20     70.40     67.00     -0.53    -12.78     44.50     48.41     53.05     86.21     29.75 
   212       48.59      1.26145        81.60     52.00     64.80    -14.93     10.56     64.50     56.59     64.22     84.90     21.67 
   213       50.59      0.99307        80.20     63.20     74.00     -2.67    -12.22     57.40     66.90     63.13     89.12     26.85 
   214       51.21      1.09086        83.80     71.47     64.60     -2.40     16.11     48.30     53.57     62.58     91.70     22.41 
   215       48.95      1.45910        72.00     48.00     41.00      3.73     46.11     66.50     47.86     58.62     93.74     11.98 
   216       49.14      1.07777        89.00     63.47     54.00     18.40    -12.22     49.60     48.73     63.13     94.01     23.33 
   217       49.14      0.96976        84.80     63.20     56.60     11.47      1.11     36.90     56.83     65.64     88.48     26.42 
   218       49.29      1.59106        81.40     50.40     58.20      2.67     12.78     82.60     46.03     56.58     92.20     10.06 
   219       49.07      1.15415        79.00     60.27     58.40     21.33     -1.11     44.00     58.65     58.22     92.38     19.57 
   220       46.00      1.38334        95.00     31.33     60.80     -9.07      4.44     63.70     41.51     56.18     96.64     19.44 
   221       48.76      0.77837        69.40     83.60     74.40     16.53    -19.44     42.40     41.90     59.56     85.26     34.01 
   222       54.55      0.98011       102.20     62.40     59.20     18.93     15.00     50.90     62.70     66.55     78.00     29.63 
   223       49.46      1.28883        85.60     55.20     65.40      9.87     -5.56     69.70     49.13     60.15     87.71     17.41 
