constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0, 10], [200.0, 5000], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   100       55.07     59.09660  2562.43804        94.20     66.67     74.60      6.93     -3.89     61.80     69.29     70.25     82.99     27.90 
   101       49.19     60.10358  2544.81663        89.00     67.47     66.40      7.73    -27.22     57.40     56.27     65.02     85.44     24.38 
   102       56.76     59.93114  2550.19827        98.20     64.53     80.20     29.33    -11.11     52.80     51.11     76.65     91.11     34.81 
   103       53.00     103.81326  1671.37835        86.00     76.53     83.60     -3.73     10.56     42.40     52.62     70.15     81.00     30.93 
   104       59.95     30.05012  2553.37277        97.20     75.33     68.60     27.20      6.67     69.10     65.56     71.53     85.22     33.09 
   105       40.04      1.34987  2109.11342        85.20     22.93     70.80      8.53      7.22     43.60     34.92     79.24     33.74     14.20 
   106       50.11     27.61563  3085.76555        64.80     47.20     67.40     -9.87      3.33     71.00     52.06     69.82     95.56     39.81 
   107       59.92     42.98697  3679.58909        87.80     66.80     59.40     37.87      7.22     69.80     69.44     75.42     95.83     29.63 
   108       52.38     47.61399  3952.10937        79.80     60.40     54.20     17.33     -7.78     64.00     59.29     76.25     88.16     32.10 
   109       62.19     67.40807  3329.25867       103.60     78.93     64.80     21.07     34.44     46.10     70.79     75.45     88.12     38.58 
   110       53.54     91.02362  2722.35725        87.80     57.33     81.20     10.40     12.22     57.30     55.40     56.98     86.67     30.06 
   111       58.95     75.19901  2555.73416        87.80     68.93     61.80     21.07     28.33     67.30     64.84     63.53     89.21     36.67 
   112       53.88     60.61609  3420.72649        90.00     69.07     78.40     17.87    -13.33     61.30     54.76     63.27     87.35     30.12 
