constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    81.16     0.500000  0.872975        99.60     95.08     97.40     63.76     10.57     99.40     92.27     97.75     94.82     60.93 
    81.20     0.500000  0.954349        99.60     95.08     97.40     63.76     10.57     99.40     92.47     97.82     94.85     61.01 
    82.39     1.385029  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     91.17     97.35     94.89     74.68 
    82.72     2.822174  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     88.25     96.18     94.89     82.08 
    81.53     4.165195  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     77.41     95.09     94.89     82.10 
    79.84     4.530997  0.940191        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.15     99.99     82.10 
    80.16     3.814279  0.947647        99.60     95.08     97.40     63.76     10.57     99.40     67.45     95.16     91.02     82.11 
    81.44     4.366833  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     76.66     94.95     94.89     82.10 
    78.63     6.679215  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     87.20     94.89     82.07 
    78.56     3.717596  0.937565        99.60     95.08     97.40     63.76     10.57     99.40     66.94     95.24     75.51     82.10 
