constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    82.22     2.152768  0.914149        99.60     95.08     97.40     63.76     10.57     99.40     83.59     95.60     95.14     82.09 
    81.65     2.411197  0.908599        99.60     95.08     97.40     63.76     10.57     99.40     77.22     95.38     95.97     82.10 
    81.57     3.059784  0.967667        99.60     95.08     97.40     63.76     10.57     99.40     77.60     95.02     95.35     81.97 
    81.29     3.488500  0.954701        99.60     95.08     97.40     63.76     10.57     99.40     75.28     94.58     95.14     82.11 
    82.18     3.042775  0.985798        99.60     95.08     97.40     63.76     10.57     99.40     82.77     95.09     96.08     82.09 
    81.32     3.914708  0.976789        99.60     95.08     97.40     63.76     10.57     99.40     75.35     94.36     95.73     81.96 
    81.51     3.028608  0.957566        99.60     95.08     97.40     63.76     10.57     99.40     77.03     95.02     95.19     82.09 
    82.20     3.230279  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     83.02     94.95     96.14     82.11 
    81.62     3.709544  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     77.68     94.58     96.07     82.10 
    81.37     3.680958  0.983488        99.60     95.08     97.40     63.76     10.57     99.40     76.33     94.58     94.92     82.11 
    82.16     2.991050  0.988822        99.60     95.08     97.40     63.76     10.57     99.40     83.04     95.16     95.47     82.09 
    82.45     2.818705  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     85.11     95.31     96.19     82.10 
    82.13     2.744357  0.975965        99.60     95.08     97.40     63.76     10.57     99.40     83.10     95.31     94.95     82.11 
    82.49     2.346013  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     85.23     95.67     96.25     81.96 
    82.44     2.271987  0.973568        99.60     95.08     97.40     63.76     10.57     99.40     85.37     95.67     95.61     81.95 
    82.52     1.836172  0.951008        99.60     95.08     97.40     63.76     10.57     99.40     86.26     95.96     95.05     82.07 
    82.63     1.854980  0.948483        99.60     95.08     97.40     63.76     10.57     99.40     86.18     95.96     96.30     82.09 
    82.60     1.867636  0.945593        99.60     95.08     97.40     63.76     10.57     99.40     86.10     95.96     96.06     82.10 
    82.51     1.884141  0.942846        99.60     95.08     97.40     63.76     10.57     99.40     85.55     95.96     95.87     81.91 
    82.48     1.945778  0.943707        99.60     95.08     97.40     63.76     10.57     99.40     85.42     95.89     95.61     82.09 
    82.47     1.891655  0.940723        99.60     95.08     97.40     63.76     10.57     99.40     85.49     95.89     95.59     81.98 
    82.53     1.876047  0.944211        99.60     95.08     97.40     63.76     10.57     99.40     85.59     95.96     95.87     82.10 
    82.53     1.895120  0.945916        99.60     95.08     97.40     63.76     10.57     99.40     85.59     95.96     95.93     81.97 
    82.61     1.831298  0.943424        99.60     95.08     97.40     63.76     10.57     99.40     86.14     95.96     96.24     81.95 
    82.51     1.854336  0.940010        99.60     95.08     97.40     63.76     10.57     99.40     85.57     95.96     95.70     82.10 
    82.50     1.840649  0.937556        99.60     95.08     97.40     63.76     10.57     99.40     85.55     95.96     95.62     82.11 
    82.50     1.840649  0.937556        99.60     95.08     97.40     63.76     10.57     99.40     85.55     95.96     95.59     82.11 
    79.12     5.001499  0.796996        99.60     95.08     97.40     63.76     10.57     99.40     56.34     87.13     99.98     81.96 
    77.53     9.000000  0.674316        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     99.99     82.11 
    75.08     6.815397  0.594013        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.51     82.12 
    75.08     9.000000  0.805986        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.51     82.10 
    77.52     9.000000  0.659282        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02    100.00     82.08 
    79.65     4.772279  0.880452        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.25    100.00     82.10 
    82.21     2.508698  0.956348        99.60     95.08     97.40     63.76     10.57     99.40     83.02     95.45     95.69     82.10 
    82.60     0.936212  0.854858        99.60     95.08     97.40     63.76     10.57     99.40     85.97     96.11     96.06     82.07 
    82.51     0.500000  0.618102        99.60     95.08     97.40     63.76     10.57     99.40     86.00     96.00     95.19     82.09 
    82.56     0.500000  0.581610        99.60     95.08     97.40     63.76     10.57     99.40     86.08     96.00     95.60     82.09 
    82.34     1.358436  0.792779        99.60     95.08     97.40     63.76     10.57     99.40     83.94     96.00     95.56     82.10 
    77.27     4.646982  0.899103        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.91     75.49     82.10 
    78.18     0.500000  0.770156        99.60     95.08     97.40     63.76     10.57     99.40     78.47     95.96     96.35     45.26 
    76.08     0.500000  0.907540        99.60     95.08     97.40     63.76     10.57     99.40     74.10     94.87     95.13     30.85 
    80.57     4.395017  0.981138        99.60     95.08     97.40     63.76     10.57     99.40     68.80     94.18     94.94     81.97 
    78.91     1.960011  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     85.70     95.96     96.27     45.37 
    81.43     3.667454  0.988634        99.60     95.08     97.40     63.76     10.57     99.40     76.84     94.58     94.98     82.11 
    74.94     0.500000  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     68.25     94.87     94.88     25.59 
    82.03     2.013257  0.847625        99.60     95.08     97.40     63.76     10.57     99.40     76.82     95.60    100.00     82.09 
    76.00     0.500000  0.903215        99.60     95.08     97.40     63.76     10.57     99.40     74.10     94.87     95.11     30.09 
    76.06     0.880069  0.967290        99.60     95.08     97.40     63.76     10.57     99.40     76.29     96.00     95.13     27.41 
