constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[1.0, 10], [200.0, 5000], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  10.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    91       56.86     118.67170  2075.57157        89.80     83.60     72.80     60.80    -25.56     47.60     48.17     66.69     92.74     31.98 
    92       52.28     123.50533  2129.92764        97.00     60.00     72.20     -5.87     17.22     49.50     57.62     57.75     88.30     29.07 
    93       54.42     123.27548  2171.35275        89.00     60.80     73.80     21.60     17.22     46.20     58.73     66.62     83.95     26.23 
    94       50.53     125.00083  2166.79953        91.20     51.47     71.60     13.87      2.22     27.80     63.41     63.56     90.43     29.75 
    95       52.13     123.37301  2130.64875        82.00     66.40     61.80     25.60     12.78     17.90     56.90     66.22     97.60     34.07 
    96       50.01     123.97985  2141.49047        95.00     82.67     59.40      2.13    -28.89     49.80     57.46     63.27     88.44     30.86 
    97       56.60     123.34748  2145.72484        81.20     67.87     71.20     35.20     21.67     50.00     51.75     61.35     89.25     36.54 
    98       51.04     124.33850  2136.07698        82.20     68.67     74.60    -17.07     17.78     42.50     53.17     66.44     92.20     29.94 
    99       53.21     123.81186  2130.01532       110.00     76.27     58.60      7.47     -1.67     36.10     54.92     64.18     93.61     32.59 
   100       51.77     124.66919  2150.09675        70.20     70.00     91.80     12.53     -2.22     35.10     56.11     67.60     86.67     29.88 
   101       55.35     123.61715  2123.72717        85.80     62.13     65.40     16.53     15.00     46.30     67.46     68.58     92.65     33.64 
   102       53.70     124.03704  2148.21022        89.00     72.80     94.40     -9.87      0.56     45.20     60.87     63.20     86.58     34.26 
   103       56.02     155.69733  2647.50340        94.00     74.40     70.20      9.60      5.56     53.80     69.29     54.62     89.52     39.26 
   104       50.44     132.28885  1465.66362        66.00     70.53     58.40     38.93     -8.89     42.70     63.33     57.93     82.72     32.78 
   105       50.15     181.10109  2327.28403        79.40     68.53     75.80     33.87    -10.56     26.50     48.89     56.07     93.51     29.44 
   106       47.65     181.41033  3802.74169        84.40     69.60     79.00      3.47    -15.00     35.20     46.90     59.09     86.08     27.72 
   107       50.99     151.45182  3427.08153        90.00     79.73     60.00     10.93     -0.56     36.00     49.52     62.95     85.62     35.74 
   108       55.02     137.89899  3831.63225        92.80     56.27     63.40     10.67     43.89     52.20     53.25     60.51     90.75     26.42 
   109       53.24     111.29386  1482.60229        90.80     74.27     58.20     26.40      6.11     42.00     50.87     66.04     88.80     28.89 
   110       50.40     123.25185  1776.58597        63.20     74.93     74.20     11.73    -21.67     53.80     67.14     66.55     88.53     25.62 
   111       55.81     114.10479  1210.06486        99.20     70.00     58.40     17.60     18.33     53.00     57.70     69.13     87.80     26.98 
   112       49.78     137.28552  2238.08044       104.60     76.67     73.60      9.33    -35.56     21.20     72.06     63.53     84.85     27.53 
   113       51.42     141.43480  1914.94246       103.60     84.53     69.80      1.60     -2.22     26.40     48.17     64.18     92.61     25.49 
   114       49.65     151.68486  2716.43685        92.20     77.87     66.80     -1.07     13.33     28.10     48.10     59.13     86.94     25.06 
   115       54.45     110.66080  2606.12301        98.00     61.73     85.40     59.20    -16.67     33.80     47.54     63.16     87.98     24.38 
   116       57.96     101.95351  3265.96818        86.00     85.20     74.60     29.60     15.56     58.20     48.89     70.98     87.03     23.52 
   117       57.95     129.15951  2666.21474        82.00     68.53     89.00     23.47     16.67     50.70     62.86     64.04     93.88     28.40 
   118       57.21     149.75953  3507.72593        88.20     61.73     58.20     42.67     14.44     56.00     67.70     60.04     86.17     36.98 
   119       50.55     149.23689  3505.19838        92.20     66.80     68.60     20.00    -16.11     36.50     67.46     62.95     86.89     20.25 
   120       53.94     134.23720  2922.60861        83.20     76.53     77.40     33.33    -20.56     45.90     55.32     66.47     92.06     29.75 
   121       48.72     144.79169  4329.07500        96.60     75.60     83.20     -0.00    -18.33     23.10     52.54     61.20     88.53     24.81 
   122       54.60     121.95670  3358.81987        93.60     67.20     59.40     13.33     18.33     48.60     62.46     74.04     81.27     27.78 
