constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.2], [9.9], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p01       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   127       40.28      1.02198        81.80     57.60     56.20    -30.93     30.56     70.20     11.75     60.04     63.40      2.16 
   128       37.36      0.70907        78.80     86.40     53.00    -37.33    -25.00     64.80     22.70     61.38     68.39      0.49 
   129       49.02      2.42893        64.40     46.00     71.00      9.60     40.56     54.30     40.40     48.36     75.87     39.69 
   130       51.36      2.61475        49.20     58.67     67.60     39.20      8.89     60.70     58.41     50.76     77.55     42.65 
   131       44.38      4.14238        72.00     81.87     87.00      9.07     -6.67     37.40     13.57     54.22     74.42     20.93 
   132       45.52      2.11379        71.00     41.33     66.40      6.93     16.11     66.70     23.57     59.45     73.33     30.37 
   133       37.18      1.48841        81.00     54.00     38.40    -24.53      5.00     63.00     15.32     68.36     74.10     -2.84 
   134       50.13      2.46166        71.80     63.73     57.00     25.60      9.44     53.10     45.32     56.95     76.10     42.28 
   135       53.02      2.73060        49.40     62.13     65.00     39.47     15.56     75.20     46.90     51.64     72.74     52.16 
   136       45.38      2.47210        66.20     52.27     42.40     11.73    -10.00     66.40     40.00     53.09     80.63     51.05 
   137       53.58      3.55138        78.60     82.53     72.00      6.67     39.44     46.60     46.03     52.33     68.93     42.65 
   138       49.04      4.92783        74.20     87.47     59.80     25.87     33.89     44.40     22.70     47.56     79.64     14.88 
   139       56.69      3.47332        80.00     79.73     69.40     21.33     23.33     75.70     51.27     57.09     73.88     35.19 
   140       47.17      5.04225        60.20     91.73     74.40     34.67     21.11     39.60      5.79     49.16     75.37     19.63 
   141       54.32      3.63197        71.20     81.20     74.80     47.47      6.11     41.90     58.02     56.18     76.51     29.81 
   142       51.55      3.95340        73.40     76.00     92.00     28.80     13.33     38.00     24.44     49.42     78.05     42.04 
   143       36.68      5.00634        46.00     58.93     80.40     16.00    -20.56     45.10     -6.19     47.89     73.97     25.25 
   144       41.03      3.82415        55.60     80.40     77.80    -15.20    -13.89     56.40     19.52     52.69     75.37     21.60 
   145       57.86      2.57936        76.00     69.20     56.60     25.07     50.00     54.00     51.51     58.07     83.49     54.69 
   146       36.10      1.98593        64.00     37.20     40.40      0.27     -9.44     61.90     10.00     66.65     71.75     18.27 
   147       40.24      1.37661        85.40     64.40     56.00      4.27    -32.78     68.50     16.43     65.42     70.11      4.69 
   148       52.82      3.93581        76.60     77.47     54.20     48.80     25.56     66.50     28.49     49.45     79.00     22.10 
   149       50.51      2.66784        79.00     62.27     71.00      9.60      7.22     46.90     43.02     61.13     77.69     47.28 
   150       48.43      3.82536        76.80     81.47     88.40     20.27    -17.78     54.60     32.62     56.25     74.10     17.53 
   151       38.18      4.71337        64.20     76.27     59.40     19.47     -2.78     39.00      0.32     48.40     75.24      2.28 
   152       41.91      4.83979        41.20     84.80     48.00     27.47     25.00     59.80      3.25     49.45     73.47      6.67 
   153       44.49      4.96178        64.60     81.87     79.00     44.27    -17.22     42.00      3.49     50.07     76.05     20.74 
   154       43.11      5.78367        62.60     80.00     90.00     12.27     20.56     16.70     11.98     43.85     73.97     19.20 
   155       41.01      5.33097        78.60     82.13     47.80     46.67     -1.11     31.40      0.48     43.02     79.00      2.16 
   156       43.71      5.04739        75.00     86.40     89.40    -20.00     34.44     17.90      7.70     58.00     75.06     13.21 
   157       41.94      6.00851        69.00     88.00     78.60     36.53      7.22     23.00     -4.84     46.87     66.17      8.89 
   158       38.86      5.84406        80.20     88.27     66.00     30.67    -21.11     15.40     11.90     40.80     68.07      8.40 
   159       42.81      5.10255        57.80     82.53     46.00     34.13     12.78     49.10      5.32     51.60     76.15     12.65 
   160       43.75      4.37858        63.00     88.27     75.40     34.67     -3.33     27.50      3.33     57.45     74.78     16.42 
   161       57.26      3.28574        70.60     81.07     71.20     49.60    -17.22     73.20     55.56     56.40     77.96     54.20 
   162       43.86      2.22222        56.40     31.87     49.60      8.00     37.78     54.40     19.05     64.58     75.74     41.23 
   163       53.02      3.94524        74.40     78.67     77.40     38.93     35.00     48.50     29.13     53.45     70.48     24.26 
   164       57.21      3.18904        68.00     73.20     83.40     17.87     43.89     56.40     38.17     58.40     80.95     51.85 
   165       50.28      2.41939        69.80     57.73     57.80     10.93     18.89     64.30     39.05     53.82     79.14     51.30 
   166       56.01      2.64640        64.60     68.40     72.20     34.67     25.00     60.40     59.60     60.25     76.24     38.77 
