constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    76.69     5.466066  0.831933        99.60     95.08     97.40     63.76     10.57     99.40     56.34     87.13     75.50     82.09 
    80.06     1.655186  0.591987        99.60     95.08     97.40     63.76     10.57     99.40     56.34     96.36     99.99     82.07 
    75.08     5.033932  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     71.02     75.51     82.09 
    77.37     2.361176  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     93.89     75.50     82.12 
    84.47     0.500000  0.749264        99.60     95.08     97.40     63.76     10.57     99.40     92.93     96.73     98.09     91.14 
    82.24     0.500000  0.720125        99.60     95.08     97.40     63.76     10.57     99.40     94.59     96.73     75.50     89.74 
    84.69     0.500000  0.831413        99.60     95.08     97.40     63.76     10.57     99.40     92.94     96.73     96.46     94.97 
    81.90     0.500000  0.693481        99.60     95.08     97.40     63.76     10.57     99.40     94.70     96.80     75.51     86.15 
    79.05     3.397962  0.517856        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.40    100.00     81.94 
    78.15     4.463158  0.500000        99.60     95.08     97.40     63.76     10.57     99.40     56.34     77.31    100.00     82.09 
