constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    82.44     1.498028  0.723348        99.60     95.08     97.40     63.76     10.57     99.40     79.52     96.98     99.99     82.11 
    82.27     0.500000  0.733437        99.60     95.08     97.40     63.76     10.57     99.40     94.05     96.62     75.50     90.77 
    82.48     0.500000  0.820196        99.60     95.08     97.40     63.76     10.57     99.40     94.53     96.62     75.51     92.30 
    80.90     1.440271  0.785600        99.60     95.08     97.40     63.76     10.57     99.40     88.36     97.20     75.50     82.10 
    83.89     0.724545  0.754778        99.60     95.08     97.40     63.76     10.57     99.40     94.24     96.76     99.99     82.12 
    82.49     0.500000  0.808574        99.60     95.08     97.40     63.76     10.57     99.40     94.48     96.62     75.51     92.44 
    82.39     0.500000  0.764086        99.60     95.08     97.40     63.76     10.57     99.40     93.93     96.62     75.50     92.01 
    83.84     0.927173  0.767141        99.60     95.08     97.40     63.76     10.57     99.40     93.56     96.91    100.00     82.09 
    84.93     0.500000  0.805913        99.60     95.08     97.40     63.76     10.57     99.40     94.50     96.62     99.98     92.45 
    84.75     0.565302  0.791337        99.60     95.08     97.40     63.76     10.57     99.40     94.01     96.62     99.98     91.12 
    82.49     0.500000  0.788243        99.60     95.08     97.40     63.76     10.57     99.40     94.48     96.62     75.51     92.43 
    81.37     0.984228  0.788079        99.60     95.08     97.40     63.76     10.57     99.40     93.54     96.91     75.50     81.92 
    82.49     0.500000  0.827420        99.60     95.08     97.40     63.76     10.57     99.40     94.50     96.62     75.50     92.44 
    84.74     0.601263  0.799348        99.60     95.08     97.40     63.76     10.57     99.40     94.07     96.69     99.98     90.84 
    84.84     0.548309  0.801966        99.60     95.08     97.40     63.76     10.57     99.40     93.92     96.62    100.00     92.04 
    82.48     0.500000  0.799287        99.60     95.08     97.40     63.76     10.57     99.40     94.51     96.62     75.51     92.38 
    84.66     0.619986  0.800517        99.60     95.08     97.40     63.76     10.57     99.40     94.19     96.69    100.00     89.89 
    84.84     0.544082  0.800877        99.60     95.08     97.40     63.76     10.57     99.40     93.92     96.62     99.98     92.07 
    84.75     0.585756  0.796329        99.60     95.08     97.40     63.76     10.57     99.40     94.04     96.69     99.99     90.97 
    82.20     0.628243  0.802362        99.60     95.08     97.40     63.76     10.57     99.40     94.21     96.69     75.50     89.83 
