constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.4], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 25
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    80       43.69      0.10243        66.96     91.95     88.88     37.39      5.11     11.72      6.73     27.46     84.53     16.17 
    81       36.10      0.08361        58.48     97.12     76.96     -3.15    -12.44      9.04      4.00     32.97     86.21     11.85 
    82       42.17      0.11080        74.32     80.37     81.20     38.13     13.78      7.84     10.35     29.63     83.29      2.77 
    83       40.63      0.10938        56.32     82.08     86.00     19.47     15.11     26.12     -0.54     31.96     84.58      5.19 
    84       42.14      0.11969        72.00     83.73     78.72     19.79     22.00     15.60     11.46     29.59     83.27      5.21 
    85       40.55      0.11957        72.24     88.16     74.08     17.65     14.00     13.56     -5.94     32.73     83.80     15.21 
    86       40.91      0.11731        68.96     80.64     86.40     27.47      5.56     15.40      7.94     33.93     81.06      1.73 
    87       41.71      0.11739        66.96     89.07     89.44      2.93     18.67     18.80     -2.22     30.08     84.63     18.72 
    88       37.23      0.10671        43.36     83.52     68.96     45.92     16.22      7.24    -14.29     28.38     81.91     11.09 
    89       39.64      0.11886        66.08     85.17     66.96     18.72     17.11     11.08      3.75     28.06     85.05     14.40 
    90       42.68      0.10818        73.76     87.41     84.24     22.13     18.22      7.40      0.86     35.90     82.04     14.79 
    91       39.95      0.11183        75.36     86.72     82.56     25.33      5.56      5.80      2.89     30.21     81.68      3.41 
    92       38.82      0.10847        72.96     94.99     76.96      5.39      6.44      5.28      1.27     31.61     82.73     10.57 
    93       39.80      0.10968        64.08     77.28     80.32     41.33      5.11      4.88      2.57     27.21     85.47      9.70 
    94       37.68      0.10714        73.28     74.77     75.04     15.09      1.78     12.96      6.92     24.12     84.96      7.85 
