constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP Disabled , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  0.700000  -0.400000  -0.300000  ]  [  1.000000  -0.200000  -0.400000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    37    52541.19   2311.31     91.09     50.57           80.76     69.41     67.78     34.41     18.02     49.19     44.40     54.60     84.47     50.00     99.28     96.96     -3.24     99.18     16.76     25.05     62.81     -3.24     58.65     21.01     55.03     75.08     90.49     22.40     53.10     35.05     12.14     30.88     35.36     54.96     86.74     11.41     26.25     76.38     67.92     58.17     53.38 
    38    52534.63   2317.87     91.07     50.55           81.21     68.88     67.95     34.81     18.57     49.18     44.07     54.63     84.54     49.04     99.28     97.11     -3.68     99.18     16.84     26.67     63.89     -6.32     58.95     19.30     54.32     75.33     90.59     21.92     53.10     34.96     14.67     31.79     35.54     55.65     86.77     10.81     25.59     76.10     67.62     57.97     53.51 
    39    52526.95   2325.55     91.03     50.52           81.38     67.97     67.03     34.15     17.24     46.79     44.65     54.23     85.00     48.54     99.28     96.92     -2.05     99.18     21.03     24.44     63.59     -4.62     59.23     21.64     56.51     75.24     90.42     21.87     53.10     35.01     13.78     32.92     33.53     55.57     86.82      9.56     24.14     76.10     67.70     58.35     52.99 
    40    52528.50   2324.00     91.02     50.39           80.35     68.93     66.55     32.93     16.11     47.63     44.37     54.61     85.45     47.52     99.29     96.69      6.00     99.18     16.50     22.33     63.35     -3.50     59.50     17.93     58.60     75.01     90.69     21.73     53.10     34.49     12.27     35.27     31.19     55.20     86.85     10.73     22.13     76.00     67.93     58.33     53.32 
    41    52536.39   2316.11     91.10     50.85           81.32     69.30     67.56     31.38     16.67     48.34     45.01     54.77     85.76     47.89     99.20     96.89      3.90     99.18     17.56     24.23     63.41     -0.98     62.24     17.79     58.63     75.06     90.75     23.08     53.10     34.84     14.08     36.33     31.84     55.69     86.87     11.48     22.70     75.72     67.88     58.30     53.77 
    42    52539.90   2312.60     91.12     50.84           82.29     69.08     66.62     32.95     19.18     48.74     44.52     54.84     85.91     48.06     99.18     97.08     -0.00     99.18     15.71     26.03     62.57     -3.33     61.71     19.75     53.90     75.04     91.03     22.75     53.11     34.92     14.41     38.10     32.71     56.25     86.89     12.23     24.32     75.72     67.64     58.24     53.92 
    43    52537.35   2315.15     91.11     50.89           81.95     70.29     66.42     32.84     18.99     49.47     45.00     53.95     85.07     48.65     99.07     97.09     -0.47     99.18     13.49     26.20     63.81     -3.72     61.77     18.88     52.19     75.00     91.12     23.93     53.12     35.30     15.72     41.64     32.99     56.90     86.90     13.07     22.44     75.35     67.65     58.13     53.51 
    44    52543.27   2309.23     91.12     50.80           82.55     69.91     66.36     34.30     18.81     48.27     45.29     53.98     85.59     48.33     99.08     97.05     -4.55     99.18     11.82     24.85     63.73     -4.09     61.14     18.67     53.82     75.16     91.15     24.77     53.12     35.41     15.15     42.79     33.03     57.72     86.93     13.48     22.24     75.52     67.92     58.19     53.08 
    45    52540.96   2311.54     91.13     50.84           81.87     70.67     67.47     33.87     16.91     47.87     45.03     53.87     85.47     48.08     99.02     97.00     -1.78     99.18     10.67     26.22     64.04     -2.67     58.80     18.76     55.56     75.06     91.33     25.65     53.12     34.59     14.61     42.04     32.27     58.22     86.89     14.16     22.91     75.97     67.50     57.94     52.95 
    46    52540.28   2312.22     91.16     50.89           83.39     70.93     67.83     35.36     14.61     48.46     45.46     53.92     85.48     48.16     99.02     96.90     -9.13     99.18     10.87     25.80     64.09     -0.43     59.96     19.48     56.70     75.18     91.39     26.61     53.13     35.06     13.86     42.72     32.12     57.64     86.97     14.80     24.10     75.73     67.40     58.22     52.10 
    47    52542.68   2309.82     91.18     51.30           82.55     70.81     69.15     35.04     16.78     48.26     45.69     53.96     85.39     48.41     98.88     96.65     -1.28     99.17     10.21     25.39     64.77      0.85     60.81     19.89     58.98     75.34     91.44     26.66     53.12     34.91     13.70     42.58     33.03     56.67     86.99     15.81     23.88     75.56     67.25     58.53     52.31 
