constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP HenkyPenky , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  
MABsolver_config: params: weights:  [  0.708700  ]  [  42.830000  ]  [  50.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    36    52074.50   2778.00     91.05     51.05           90.67     78.93     72.06     20.89     14.20     56.39     57.67     73.86     83.45     28.12     98.47     96.94    102.22     99.60     12.78     11.11     70.61     17.78     53.50     -1.33      7.11     29.92     87.80     11.16     90.80     40.27     77.48     16.15     36.27     67.22     11.44     21.81     32.45     78.92     74.35     33.75     34.20 
    37    52081.16   2771.34     91.06     51.14           91.51     78.31     72.32     18.99     13.81     57.32     57.98     73.45     83.66     29.16     98.46     96.49    102.16     99.60     11.35     10.99     70.92     16.76     52.00      4.14      8.32     29.77     87.95     10.34     90.80     40.47     75.14     16.61     37.18     66.71     10.65     22.35     34.53     79.27     74.62     33.47     34.68 
    38    52080.00   2772.50     91.05     51.16           91.47     78.84     72.11     21.12     13.01     57.74     57.89     74.13     83.82     29.65     98.42     96.25    107.37     99.60     12.11     10.18     71.68     13.68     49.95      5.19      9.05     29.80     87.96     10.78     90.80     38.17     69.68     18.32     37.04     66.15      9.92     23.03     35.67     79.46     74.43     33.93     34.52 
    39    52092.00   2760.50     91.06     51.33           88.67     79.11     71.54     19.32      9.12     57.69     58.26     73.56     83.85     30.26     98.53     96.03    109.74     99.60     14.87     10.77     71.03     15.90     52.31      3.45      7.49     29.74     88.13     11.34     90.80     38.98     71.49     20.48     37.65     66.49     11.81     21.73     37.23     79.64     74.29     34.07     34.24 
    40    52087.45   2765.05     91.05     51.01           88.50     78.20     70.80     16.80      7.50     58.58     57.74     73.79     84.37     29.74     98.62     96.12    102.00     99.60     15.00     11.00     70.15     15.50     50.05      4.33      8.40     29.69     88.22     11.16     90.80     39.63     70.40     22.33     36.43     66.93     10.94     22.67     38.88     79.44     74.60     33.87     34.43 
    41    52077.78   2774.72     91.02     50.68           88.83     77.46     71.32     15.58      7.72     60.00     58.32     73.48     84.13     29.96     98.62     96.22     97.56     99.60     14.63     11.22     69.80     15.61     48.05      3.74      4.20     29.83     88.20     12.72     90.80     39.62     67.80     25.14     36.61     66.41     10.09     21.35     38.58     79.10     74.76     33.65     34.58 
    42    52076.05   2776.45     91.02     50.57           88.10     77.59     71.29     14.92      7.28     60.36     58.41     73.74     84.38     29.16     98.64     95.95    101.90     99.60     13.81     13.33     68.48     16.19     50.86      2.67      4.00     29.95     88.32     12.25     90.80     38.90     64.06     21.65     36.89     66.67      9.39     22.42     36.32     79.33     74.64     33.62     35.29 
    43    52061.00   2791.50     90.97     50.23           88.28     77.36     70.56     13.05      6.59     59.28     58.19     73.64     84.11     29.16     98.80     96.05     97.67     99.60     14.88     14.11     66.42     13.95     48.37      2.14      5.67     29.85     88.30     12.60     90.80     38.70     65.21     23.10     36.32     66.15      8.85     23.40     35.21     79.15     74.18     33.30     35.46 
    44    52055.43   2797.07     90.99     50.42           86.18     76.97     69.50     13.52     10.48     59.25     58.04     73.29     84.39     28.94     98.95     96.08    101.36     99.60     14.09     16.67     65.27     15.00     44.23      4.30      9.27     30.02     88.09     10.42     90.80     38.27     64.97     25.88     34.66     66.16      8.26     24.07     36.17     79.41     74.01     33.06     35.85 
    45    52054.56   2797.94     90.98     50.42           86.31     76.50     69.11     14.96      8.15     59.00     57.90     73.58     84.44     29.34     99.01     96.11    100.00     99.60     16.00     15.26     66.76     14.67     46.27      4.18      8.44     30.06     88.01     11.55     90.80     39.10     63.44     26.46     34.18     65.52      7.59     24.50     35.96     79.62     73.88     33.24     35.95 
    46    52049.43   2803.07     90.95     49.95           86.70     75.57     69.04     14.43     10.51     58.67     57.99     73.77     84.63     29.52     99.05     96.30     93.91     99.60     16.52     15.07     67.39     12.17     45.09      4.70      7.65     30.17     87.82     11.96     90.80     36.86     59.54     22.43     34.80     65.78      6.88     23.60     36.45     79.89     74.14     33.04     35.79 
    47    52039.68   2812.82     90.89     49.72           83.79     75.63     68.81     13.48      8.39     59.40     57.85     73.82     84.12     29.60     99.04     96.54     94.47     99.60     17.45     15.74     67.02     11.06     47.02      6.67      9.79     30.23     87.67     11.41     90.80     34.49     57.50     21.76     34.66     64.08      6.33     22.85     35.02     79.69     74.35     33.28     36.05 
    48    52031.77   2820.73     90.87     49.52           83.17     75.61     69.04     12.39      7.64     59.90     57.47     73.94     83.90     29.75     99.08     96.46     94.58     99.60     17.50     15.28     66.29     12.92     46.75      5.11      8.17     30.28     87.76     11.22     90.80     32.23     57.00     21.17     36.06     64.44      5.78     23.27     34.44     79.47     74.24     33.42     36.03 
    49    52026.61   2825.89     90.88     49.60           82.94     75.81     67.92     12.71      7.60     60.08     58.10     74.29     83.84     29.82     99.12     96.58     95.51     99.60     17.14     15.65     65.88     13.06     49.55      3.78      8.24     30.21     87.81     12.20     90.80     30.86     58.37     21.85     35.32     65.23      5.37     21.97     35.45     79.18     74.52     33.14     35.84 
    50    52038.92   2813.58     90.90     49.18           82.20     76.69     68.28     12.53      9.44     58.82     58.02     74.36     84.56     29.37     99.16     96.55     89.60     99.60     14.40     16.00     66.64     12.80     46.48      0.21      6.56     30.25     87.82     11.93     90.80     30.19     54.45     22.99     35.70     63.47      7.09     22.60     36.94     79.14     74.68     33.11     36.15 
    51    52037.80   2814.70     90.87     48.92           82.59     76.52     67.61     11.90      8.28     58.37     58.23     74.22     84.41     29.64     99.23     96.72     80.00     99.60     11.76     14.77     66.71     12.55     47.41      3.16      7.61     30.28     87.80     12.82     90.80     30.97     56.65     23.40     35.75     62.09      6.60     21.75     36.23     79.31     74.81     33.52     35.94 
    52    52033.35   2819.15     90.88     48.78           83.15     76.59     67.65     13.95      7.91     58.40     57.80     74.36     84.58     29.46     99.35     96.73     73.08     99.60     11.54     14.62     67.69     12.31     46.00      2.00      8.46     30.38     87.72     13.20     90.80     31.43     56.00     24.56     35.60     62.76      6.15     21.31     36.17     79.19     74.61     33.55     36.09 
    53    52046.08   2806.42     90.90     48.83           83.13     77.18     67.47     15.12      7.55     58.96     57.70     74.06     84.91     29.83     99.35     96.70     71.70     99.60     11.32     12.96     68.19     13.58     47.25      1.64      6.72     30.40     87.63     12.89     90.80     31.76     54.67     25.79     36.20     63.14      7.75     21.31     36.23     79.11     74.50     33.67     36.09 
    54    52044.13   2808.37     90.93     48.88           83.07     76.81     67.96     15.26      8.23     58.85     57.69     73.41     85.03     29.96     99.35     96.71     70.37     99.60     10.74     12.84     66.89     15.93     48.22      0.25      9.19     30.37     87.64     13.02     90.80     31.90     51.70     26.27     36.29     63.38      7.54     21.57     38.06     78.83     74.70     33.83     36.27 
    55    52042.00   2810.50     90.93     49.07           84.15     76.53     67.75     14.81      8.99     59.18     57.23     73.43     84.77     30.01     99.26     96.41     69.82     99.60     10.55     12.48     68.07     16.36     49.71      2.25      9.53     30.45     87.70     14.12     90.80     32.01     53.31     25.96     35.85     64.05      7.05     21.56     38.43     79.03     74.52     33.67     36.22 
