constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    38    52514.66   2337.84     91.29     48.02           90.89     72.63     72.00     14.11      3.36     48.24     55.08     56.01     91.60     34.86     98.92     96.25    -57.37     99.60     23.68      3.16     61.84     24.74     35.42     20.07     42.95     25.28     85.56     14.15     87.40     33.47     27.58     43.44     37.51     55.71     83.27     25.99     44.06     78.30     72.76     37.58     36.78 
    39    52509.59   2342.91     91.27     47.83           90.51     73.30     71.79     15.69      1.28     47.00     55.05     56.01     91.01     34.19     98.90     96.09    -62.05     99.60     26.15      0.51     62.51     27.69     34.00     20.75     40.72     25.37     85.35     14.53     87.40     33.87     25.68     42.36     38.20     55.83     83.21     26.30     45.42     78.03     72.61     37.77     37.16 
    40    52513.28   2339.22     91.31     47.75           92.15     73.13     72.40     17.13      2.64     47.05     54.60     56.15     90.24     34.32     98.93     96.13    -67.00     99.60     24.50      2.33     60.40     29.50     32.95     19.40     37.20     25.76     85.56     14.18     87.40     34.31     25.87     43.13     38.43     56.21     83.19     26.60     46.22     78.13     72.54     38.24     37.27 
    41    52509.00   2343.50     91.30     47.80           92.44     74.02     72.78     17.72      2.85     45.41     53.79     55.61     90.60     34.43     98.94     96.65    -60.98     99.60     25.85      4.39     59.90     26.83     32.10     19.74     33.46     25.71     85.56     13.71     87.40     34.15     25.27     43.93     39.09     56.92     83.13     27.02     44.97     78.31     72.34     38.26     36.59 
    42    52511.93   2340.57     91.28     47.74           92.71     73.33     73.29     18.10      2.38     44.83     54.29     55.62     90.16     33.76     98.92     96.85    -57.62     99.60     25.71      3.49     60.62     23.81     32.14     18.60     31.43     25.86     85.27     14.03     87.40     34.62     25.97     43.30     38.96     56.62     83.09     28.60     44.98     78.54     72.53     37.84     36.85 
    43    52509.51   2342.99     91.25     47.90           92.84     73.67     73.26     16.28      1.42     44.44     54.37     55.63     89.72     33.43     98.99     96.98    -49.77     99.60     23.72      3.88     60.23     22.79     32.47     21.67     31.91     25.91     85.25     14.42     87.40     34.75     26.14     45.55     39.53     55.31     83.14     28.67     43.52     78.73     72.35     37.95     36.25 
    44    52515.27   2337.23     91.26     47.87           93.59     74.58     73.36     16.79      1.52     44.75     53.64     55.85     89.21     34.08     99.00     96.59    -52.27     99.60     19.55      3.03     59.55     23.64     33.18     23.21     30.00     25.98     85.03     16.65     87.40     32.67     27.52     46.67     39.08     53.98     83.12     29.29     45.02     78.90     72.57     38.33     36.40 
    45    52504.58   2347.92     91.20     47.70           93.16     74.13     72.93     16.09      1.60     43.84     53.69     55.73     89.00     33.66     98.98     96.72    -44.44     99.60     20.00      1.33     57.24     21.33     31.20     19.59     32.09     26.01     84.79     16.72     87.40     32.65     26.81     47.02     39.46     54.79     83.14     28.28     44.61     78.76     72.40     38.13     36.45 
    46    52506.52   2345.98     91.22     47.77           93.39     74.17     73.13     16.99     -0.48     42.76     53.66     55.42     89.03     33.82     98.89     96.85    -40.43     99.60     17.39      2.61     58.00     24.78     32.57     21.16     28.52     25.96     84.96     17.26     87.40     33.14     24.41     48.12     38.99     55.21     83.13     29.20     42.28     79.03     72.28     38.03     36.28 
    47    52510.70   2341.80     91.22     47.60           93.66     74.13     72.77     16.99     -2.36     41.30     54.05     54.94     88.85     33.73     98.85     96.91    -43.40     99.60     14.04      0.71     58.17     25.96     34.64     20.45     29.70     25.94     85.11     18.30     87.40     34.26     22.44     48.37     38.38     56.41     83.13     29.86     41.67     79.22     72.39     38.38     36.25 
    48    52503.15   2349.35     91.19     47.54           92.00     73.72     72.75     16.33     -1.04     40.60     53.87     54.97     88.77     33.80     98.92     96.67    -43.33     99.60     16.25      1.11     58.71     25.00     35.88     19.72     31.67     25.97     84.89     17.70     87.40     34.49     20.67     46.72     38.47     57.05     83.16     28.74     42.15     79.43     72.08     38.14     35.94 
    49    52499.73   2352.77     91.19     47.74           92.29     73.22     72.12     16.41     -0.57     40.82     54.02     55.19     89.00     34.06     98.91     96.38    -32.65     99.60     13.88      0.14     59.35     25.71     33.76     19.02     29.96     26.05     84.96     18.95     87.40     34.78     21.03     48.24     38.43     56.94     83.11     27.29     43.14     79.30     71.80     38.30     35.89 
    50    52501.34   2351.16     91.21     47.82           92.76     73.57     72.56     15.63     -2.00     39.76     54.25     55.11     88.53     33.73     99.04     96.40    -30.00     99.60     13.60     -1.07     59.32     28.80     31.12     18.51     28.80     26.08     84.99     19.47     87.40     35.36     24.59     49.92     37.21     57.01     83.18     26.17     44.34     79.56     71.93     38.43     35.85 
    51    52507.22   2345.28     91.22     47.96           92.47     73.52     72.59     15.50     -1.63     39.04     54.61     55.37     88.86     33.58     98.92     96.62    -30.59     99.60     15.29     -1.70     58.51     28.24     30.71     19.74     29.88     26.08     84.94     18.95     87.40     35.22     24.34     50.80     39.07     57.52     83.21     26.55     45.24     79.47     72.07     38.56     36.06 
    52    52508.71   2343.79     91.21     47.98           92.62     73.77     72.50     15.79     -2.14     39.29     54.78     55.38     88.65     34.07     98.91     96.63    -35.00     99.60     17.69     -3.59     58.35     26.54     32.27     20.56     32.00     26.07     84.80     19.04     87.40     35.12     23.69     50.97     38.98     57.90     83.16     25.90     47.34     79.27     72.33     38.60     36.18 
    53    52508.11   2344.39     91.21     47.78           92.68     73.76     72.57     15.67     -2.73     39.53     55.29     55.51     88.90     33.87     98.94     96.60    -34.34     99.60     14.34     -3.65     56.49     26.79     32.42     20.45     32.23     26.13     84.65     18.73     87.40     35.22     20.55     51.60     38.88     57.86     83.14     26.35     46.23     79.01     72.58     38.35     36.32 
    54    52518.31   2334.19     91.24     48.04           92.85     73.48     73.41     15.16     -2.78     39.15     55.78     55.73     88.90     33.86     98.88     96.39    -32.22     99.60     14.44     -3.21     56.70     27.04     31.22     22.22     32.30     26.12     84.68     19.05     87.40     35.73     22.47     52.44     39.41     57.92     83.17     26.73     46.45     79.26     72.79     38.59     36.36 
    55    52519.35   2333.15     91.25     48.15           93.05     72.95     73.85     15.78     -3.43     39.49     55.74     55.78     88.81     33.89     98.96     96.50    -33.45     99.60     13.45     -3.27     56.80     27.64     31.49     22.38     35.71     26.16     84.84     20.06     87.40     36.17     23.83     51.95     38.22     58.40     83.15     27.42     45.74     79.41     72.66     38.23     36.22 
    56    52516.11   2336.39     91.24     48.07           93.11     73.48     73.93     15.81     -1.88     40.00     55.98     55.68     89.16     33.62     99.10     96.52    -31.07     99.60     14.64     -4.29     56.21     26.07     28.00     21.05     36.57     26.17     84.77     20.51     87.40     35.67     26.76     48.90     36.85     58.59     83.17     26.62     45.52     79.62     72.53     38.01     36.17 
    57    52516.46   2336.04     91.24     47.97           93.02     72.84     73.30     15.79     -3.70     39.19     56.45     55.95     89.12     33.44     99.14     96.71    -30.88     99.60     16.14     -3.16     56.21     27.37     26.95     20.05     34.60     26.19     84.64     20.16     87.40     36.21     27.06     48.49     36.42     58.26     83.18     25.87     46.08     79.82     72.75     38.01     36.06 
    58    52520.72   2331.78     91.26     48.22           92.72     72.44     73.41     14.67     -3.35     39.52     56.86     56.01     89.35     33.44     99.20     96.64    -28.28     99.60     17.93     -0.23     56.31     24.48     26.14     20.87     37.52     26.28     84.64     20.58     87.40     37.06     26.34     48.69     36.61     59.01     83.16     26.13     46.40     79.71     72.94     38.12     35.83 
