constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.100000  -0.400000  -0.400000  ]  [  0.300000  0.000000  0.000000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
Total repeats: 1000

           Batch performances                            By-cases performance as: Sum rewards

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   161    3514.67    404.33     90.44     58.77          294.65    280.96    188.58    225.96    103.89    550.97    453.78    569.43    373.76    472.68 
   162    3515.14    403.86     90.44     58.75          294.51    281.06    188.62    226.01    103.81    551.06    453.56    569.75    373.94    472.82 
   163    3514.94    404.06     90.44     58.75          294.48    280.89    188.61    226.07    103.85    551.07    453.57    569.78    374.04    472.59 
   164    3514.99    404.01     90.44     58.72          294.29    280.69    188.66    225.93    103.90    551.24    453.55    569.74    374.29    472.70 
   165    3514.42    404.58     90.43     58.69          294.25    280.77    188.74    225.94    103.88    551.19    453.14    569.58    374.14    472.78 
   166    3514.83    404.17     90.43     58.70          294.29    280.81    188.64    225.87    103.90    551.25    453.10    569.65    374.06    473.26 
   167    3514.72    404.28     90.43     58.70          294.32    280.81    188.72    225.79    103.91    551.40    453.00    569.65    374.04    473.09 
   168    3514.46    404.54     90.43     58.69          294.25    280.83    188.69    225.70    103.96    551.32    453.22    569.42    373.89    473.18 
   169    3514.88    404.12     90.43     58.65          294.31    280.68    188.65    225.67    103.89    551.21    452.99    569.63    374.31    473.52 
   170    3514.76    404.24     90.43     58.66          294.31    280.72    188.69    225.69    103.94    550.94    452.91    569.80    374.16    473.60 
   171    3514.71    404.29     90.42     58.58          294.37    280.65    188.70    225.60    103.79    551.15    453.02    569.89    373.97    473.55 
   172    3514.42    404.58     90.41     58.52          294.39    280.49    188.72    225.46    103.77    551.28    452.93    569.99    373.90    473.49 
   173    3514.91    404.09     90.42     58.58          294.38    280.49    188.95    225.42    103.77    551.40    453.14    570.04    374.04    473.27 
   174    3514.54    404.46     90.41     58.54          294.23    280.41    188.95    225.34    103.80    551.61    453.06    569.91    373.98    473.24 
   175    3514.02    404.98     90.40     58.48          294.18    280.41    188.90    225.37    103.77    551.66    452.75    569.96    373.80    473.22 
   176    3513.61    405.39     90.39     58.46          294.11    280.32    188.77    225.46    103.82    551.48    452.59    570.03    373.56    473.47 
   177    3513.92    405.08     90.39     58.44          294.15    280.23    188.63    225.49    103.79    551.29    452.81    570.16    373.88    473.51 
   178    3514.12    404.88     90.39     58.43          294.13    280.07    188.60    225.53    103.76    551.52    452.84    570.38    373.71    473.58 
   179    3514.15    404.85     90.38     58.40          294.06    280.08    188.59    225.54    103.77    551.19    452.79    570.78    373.75    473.61 
   180    3514.49    404.51     90.40     58.44          294.01    280.23    188.65    225.48    103.83    550.99    452.83    571.04    373.96    473.48 
   181    3514.73    404.27     90.41     58.50          294.05    280.33    188.76    225.51    103.85    550.84    453.02    571.04    373.96    473.38 
   182    3514.85    404.15     90.41     58.48          294.01    280.29    188.90    225.43    103.81    550.87    452.97    571.10    374.03    473.44 
   183    3515.21    403.79     90.42     58.48          294.04    280.34    188.97    225.30    103.81    550.74    452.98    571.30    374.33    473.39 
   184    3513.99    405.01     90.39     58.32          294.03    280.09    188.89    225.18    103.78    550.40    453.03    571.03    374.27    473.30 
   185    3514.29    404.71     90.39     58.30          294.10    280.05    188.68    225.17    103.76    550.56    452.75    571.32    374.51    473.40 
   186    3513.29    405.71     90.36     58.23          294.06    280.11    188.51    225.21    103.77    550.48    452.67    570.93    374.51    473.04 
   187    3513.34    405.66     90.36     58.22          294.03    280.09    188.41    225.27    103.74    550.53    452.90    571.04    374.30    473.01 
   188    3513.21    405.79     90.35     58.22          294.05    280.02    188.31    225.37    103.73    550.69    452.94    571.09    374.21    472.79 
   189    3514.07    404.93     90.37     58.31          294.13    280.00    188.33    225.49    103.72    550.91    453.05    571.23    374.17    473.03 
   190    3514.62    404.38     90.38     58.28          294.04    279.93    188.42    225.37    103.65    551.03    453.21    571.38    374.46    473.14 
   191    3514.03    404.97     90.37     58.27          293.99    280.13    188.32    225.34    103.76    550.67    453.11    571.28    374.36    473.06 
   192    3513.98    405.02     90.37     58.29          294.01    280.14    188.23    225.28    103.82    550.71    453.30    571.20    374.23    473.07 
   193    3514.04    404.96     90.37     58.28          293.88    280.15    188.25    225.27    103.85    550.60    453.33    571.62    374.27    472.82 
