constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: VoterUCBT , CP HenkyPenky , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Linear  Linear  Linear  Direct  Direct  
MABsolver_config: params: numInputs:  2  2  1  0  0  
MABsolver_config: params: weights:  [  1.000000  -0.100000  -0.400000  ]  [  0.800000  -0.100000  -0.300000  ]  [  0.000000  1.000000  ]  [  43.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
Total repeats: 1000

           Batch performances                            By-cases performance as: Sum rewards

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    80    3560.24    358.76     90.75     58.92          292.09    276.41    184.16    220.96    102.97    569.05    469.95    601.97    376.66    466.00 
    81    3563.25    355.75     90.83     59.31          292.25    276.52    184.35    221.21    103.15    569.30    470.63    602.22    376.81    466.81 
    82    3563.78    355.22     90.83     59.28          292.51    276.23    184.44    221.39    102.93    569.10    470.88    602.73    376.79    466.78 
    83    3562.99    356.01     90.82     59.31          292.64    276.08    184.33    221.42    103.05    569.16    470.96    602.34    376.59    466.42 
    84    3564.11    354.89     90.85     59.43          292.65    276.43    184.49    221.33    103.14    568.88    471.06    602.88    376.99    466.25 
    85    3562.58    356.42     90.82     59.31          291.49    276.32    184.31    221.68    103.28    569.01    471.31    602.36    376.71    466.11 
    86    3562.27    356.73     90.82     59.32          291.51    276.74    184.58    221.64    103.19    569.14    471.40    602.45    375.94    465.67 
    87    3562.29    356.71     90.81     59.30          291.44    276.67    184.43    221.92    103.10    569.31    471.14    602.49    375.69    466.10 
    88    3560.30    358.70     90.76     59.14          291.47    276.45    184.30    221.59    103.20    569.30    470.90    602.16    375.52    465.41 
    89    3560.26    358.74     90.76     59.11          291.45    276.60    184.21    221.35    103.19    569.78    470.93    601.94    375.36    465.45 
    90    3560.27    358.73     90.77     59.26          291.58    276.59    184.30    221.60    103.30    569.80    471.09    601.69    374.88    465.44 
    91    3559.05    359.95     90.74     59.11          291.45    276.60    184.20    221.21    103.40    569.69    470.96    602.05    374.47    465.02 
    92    3559.72    359.28     90.76     59.23          291.45    276.47    183.88    221.46    103.55    569.76    471.23    601.90    374.75    465.27 
    93    3559.57    359.43     90.74     59.14          291.38    276.71    183.53    221.22    103.59    569.86    471.03    602.05    375.04    465.16 
    94    3559.79    359.21     90.73     59.03          291.29    276.95    183.32    221.10    103.45    569.72    471.20    602.00    375.54    465.22 
    95    3559.93    359.07     90.72     58.91          291.19    276.94    183.18    220.95    103.33    570.05    470.96    602.08    376.14    465.12 
    96    3560.17    358.83     90.71     58.89          291.20    276.53    183.01    220.93    103.36    570.07    471.18    602.30    375.94    465.65 
    97    3559.46    359.54     90.70     58.79          291.13    276.91    183.07    220.61    103.36    569.79    470.85    602.29    376.22    465.24 
    98    3559.41    359.59     90.70     58.78          291.08    276.64    182.90    220.74    103.39    569.77    471.14    602.20    376.08    465.46 
