constructTestCases(): generating 37 specified cases ...  DONE
Procedure evaluateBatch()
Oracle probabilites : disabled
MABsolver_config: algorithms: UCBtuned , CP Disabled , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Linear  
MABsolver_config: params: numInputs:  3  
MABsolver_config: params: weights:  [  0.452300  -0.443900  0.172100  0.249100  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
BanditTestBatch: numCases: 37
BanditTestBatch: maxim sum reward: 54852.5
BanditTestBatch: random reward: 47776.5
Total repeats: 1000

           Batch performances                            By-cases performance as: Random-normalized optimality [%]

repeat     SumRew    Regret    Opt[%]  RNopt[%]          case01    case02    case03    case04    case05    case06    case07    case08    case09    case10    case11    case12    case13    case14    case15    case16    case17    case18    case19    case20    case21    case22    case23    case24    case25    case26    case27    case28    case29    case30    case31    case32    case33    case34    case35    case36    case37 
    46    52355.83   2496.67     91.13     47.87           79.74     74.99     67.35     20.52     -6.40     19.35     47.00     54.64     95.25     61.47     99.17     98.70      7.83     99.60     22.61     27.54     69.00      5.22     56.43     23.83     49.39     27.91     83.39     15.86     63.00     30.54      7.13     13.62     17.07     53.25     82.41     23.89     27.57     70.76     63.45     62.74     55.32 
    47    52362.70   2489.80     91.13     47.85           80.26     75.15     68.21     21.02     -6.38     20.19     47.60     54.64     95.19     61.87     99.07     98.94      5.96     99.60     20.85     26.52     68.55      2.98     56.72     26.30     46.89     27.96     83.47     15.01     63.00     31.43      8.26     14.78     17.32     53.28     82.43     23.20     27.55     70.72     63.63     62.88     55.54 
    48    52354.27   2498.23     91.10     47.91           81.13     75.47     67.38     20.72     -5.09     20.17     47.19     54.87     95.12     61.81     98.98     98.80      8.33     99.60     20.83     24.72     69.29      1.25     58.50     27.44     44.33     27.99     83.41     15.56     63.00     31.90     10.89     12.72     17.23     53.84     82.41     23.52     28.19     70.49     63.33     61.87     55.36 
    49    52359.51   2492.99     91.10     48.10           81.92     75.59     68.20     19.95     -4.42     21.82     46.21     54.68     95.34     61.54     98.92     98.72     15.10     99.60     22.86     25.17     67.43      0.00     56.65     28.60     41.06     28.16     83.72     15.65     63.00     31.92     10.37     14.94     17.78     54.39     82.38     24.12     26.99     70.70     63.11     61.97     55.64 
    50    52353.58   2498.92     91.11     48.18           82.64     76.24     68.68     20.43     -3.22     22.84     45.71     54.78     95.43     61.32     98.95     98.80      9.20     99.60     21.60     24.53     68.36     -0.80     59.20     28.80     44.16     28.13     83.46     15.34     63.00     30.63     14.24     15.47     16.52     54.55     82.40     23.33     27.87     70.46     63.05     61.52     55.49 
    51    52351.73   2500.77     91.10     48.08           80.16     75.92     68.35     21.20     -2.83     22.65     45.49     55.62     95.71     61.72     99.02     98.68     14.51     99.60     21.18     23.92     67.53     -2.35     59.53     25.33     40.71     28.07     83.38     16.34     63.00     28.80     13.67     17.18     16.95     54.69     82.42     24.14     28.10     70.32     62.81     61.94     55.38 
    52    52351.48   2501.02     91.08     48.14           80.31     75.82     69.04     20.51     -2.67     23.73     45.77     55.24     95.38     61.97     98.99     98.41     19.62     99.60     19.23     24.62     67.54     -5.00     62.27     24.56     41.85     28.17     83.13     17.30     63.00     29.80     10.97     17.18     17.22     54.59     82.40     22.83     27.21     70.27     63.10     61.87     55.17 
    53    52352.96   2499.54     91.09     48.15           80.08     76.28     69.58     19.70     -2.94     24.70     46.56     55.25     95.35     62.24     98.98     98.40     17.36     99.60     18.11     23.52     68.23     -4.15     62.75     25.64     42.04     28.21     83.00     16.71     63.00     30.37     10.99     17.64     16.88     55.33     82.39     23.34     26.11     70.14     62.82     62.22     55.30 
    54    52348.65   2503.85     91.08     47.94           80.67     76.20     69.19     19.06     -2.16     23.65     45.91     55.08     95.46     62.24     99.07     98.47     10.37     99.60     17.04     23.21     66.44     -2.96     64.33     24.49     42.52     28.38     83.04     16.12     63.00     30.92     11.21     18.86     17.46     55.23     82.41     23.50     25.77     70.12     62.63     62.24     55.15 
    55    52353.65   2498.85     91.12     48.19           80.80     76.27     69.89     19.32     -1.72     22.67     46.33     55.15     95.30     62.32     99.15     98.45     12.36     99.60     14.91     23.15     66.51     -0.73     66.73     25.14     44.44     28.35     83.01     16.86     63.00     30.64     10.64     19.71     16.82     54.60     82.48     24.05     26.02     70.39     62.51     62.40     55.42 
